metabolite	raw.label	class	subclass
xxlvldlp	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Lipoprotein subclasses	Extremely large VLDL
xxlvldll	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL
xxlvldlpl	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL
xxlvldltg	Triglycerides in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL
xlvldlp	Concentration of very large VLDL particles (mol/l)	Lipoprotein subclasses	Very large VLDL
xlvldll	Total lipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL
xlvldlpl	Phospholipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL
xlvldltg	Triglycerides in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL
lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL
lvldll	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
lvldlpl	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
lvldlc	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
lvldlce	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
lvldlfc	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
lvldltg	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL
mvldlp	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL
mvldll	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
mvldlpl	Phospholipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
mvldlc	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
mvldlce	Cholesterol esters in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
mvldlfc	Free cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
mvldltg	Triglycerides in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL
svldll	Total lipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL
svldlpl	Phospholipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL
svldlc	Total cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL
svldlfc	Free cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL
svldltg	Triglycerides in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL
xsvldlp	Concentration of very small VLDL particles (mol/l)	Lipoprotein subclasses	Very Small VLDL
xsvldll	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL
xsvldlpl	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL
xsvldltg	Triglycerides in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL
idlp	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL
idll	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL
idlpl	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL
