metabolite	raw.label	class	subclass	derived_features
ala	Alanine (mmol/l)	Amino acids	Amino acids	no
gln	Glutamine (mmol/l)	Amino acids	Amino acids	no
his	Histidine (mmol/l)	Amino acids	Amino acids	no
phe	Phenylalanine (mmol/l)	Amino acids	Aromatic amino acids	no
tyr	Tyrosine (mmol/l)	Amino acids	Aromatic amino acids	no
ile	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	no
leu	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	no
val	Valine (mmol/l)	Amino acids	Branched-chain amino acids	no
apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	no
apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	no
apobapoa1	Ratio of apolipoprotein B to apolipoprotein A-I	Apolipoproteins	Apolipoproteins	no
estc	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol	no
freec	Free cholesterol (mmol/l)	Cholesterol	Cholesterol	no
hdl2c	Total cholesterol in HDL2 (mmol/l)	Cholesterol	Cholesterol	no
hdl3c	Total cholesterol in HDL3 (mmol/l)	Cholesterol	Cholesterol	no
hdlc	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	no
ldlc	Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	no
remnantc	"Remnant cholesterol (non-HDL, non-LDL -cholesterol) (mmol/l)"	Cholesterol	Cholesterol	no
serumc	Serum total cholesterol (mmol/l)	Cholesterol	Cholesterol	no
vldlc	Total cholesterol in VLDL (mmol/l)	Cholesterol	Cholesterol	no
cla	Conjugated linoleic acid (mmol/l)	Fatty acids	Fatty acids	no
dha	"22:6, docosahexaenoic acid (mmol/l)"	Fatty acids	Fatty acids	no
falen	"Estimated description of fatty acid chain length, not actual carbon number"	Fatty acids	Fatty acids	no
faw3	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids	no
faw6	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids	no
la	"18:2, linoleic acid (mmol/l)"	Fatty acids	Fatty acids	no
mufa	"Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)"	Fatty acids	Fatty acids	no
pufa	Polyunsaturated fatty acids (mmol/l)	Fatty acids	Fatty acids	no
sfa	Saturated fatty acids (mmol/l)	Fatty acids	Fatty acids	no
totfa	Total fatty acids (mmol/l)	Fatty acids	Fatty acids	no
unsat	Estimated degree of unsaturation	Fatty acids	Fatty acids	no
clafa	Ratio of conjugated linoleic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
dhafa	Ratio of 22:6 docosahexaenoic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
faw3fa	Ratio of omega-3 fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
faw6fa	Ratio of omega-6 fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
lafa	Ratio of 18:2 linoleic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
mufafa	Ratio of monounsaturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
pufafa	Ratio of polyunsaturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
sfafa	Ratio of saturated fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	yes
alb	Albumin  (signal area)	Fluid balance	Fluid balance	no
crea	Creatinine (mmol/l)	Fluid balance	Fluid balance	no
dag	Diacylglycerol (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no
hdltg	Triglycerides in HDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no
ldltg	Triglycerides in LDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no
pc	Phosphatidylcholine and other cholines (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	no
