Intermediate	Category
Heart failure 	Cardiovascular
Anemia 	Cardiovascular
Dyslipidemias 	Cardiovascular
Cerebrovascular accident 	Cardiovascular
Cardiovascular diseases 	Cardiovascular
Atherosclerosis 	Cardiovascular
Myocardial infarction 	Cardiovascular
Ischemic stroke 	Cardiovascular
Acute coronary syndrome 	Cardiovascular
Atrial fibrillation 	Cardiovascular
Coronary heart disease 	Cardiovascular
Systemic arterial pressure 	Cardiovascular
Thrombosis 	Cardiovascular
Cerebrovascular disorders 	Cardiovascular
Acute myocardial infarction 	Cardiovascular
Sinus rhythm 	Cardiovascular
Cardiomyopathies 	Cardiovascular
Myocardial Ischemia 	Cardiovascular
Peripheral vascular diseases 	Cardiovascular
Vascular calcification 	Cardiovascular
Heart arrest 	Cardiovascular
Myocardial rupture 	Cardiovascular
"Shock, cardiogenic "	Cardiovascular
Hemorrhage 	Cardiovascular
Ischemia 	Cardiovascular
Congestive heart failure 	Cardiovascular
"Ventricular dysfunction, left "	Cardiovascular
Mitral valve Insufficiency 	Cardiovascular
Hyperglycaemia	Cardiovascular
Pancreatitis 	immune
Inflammatory disorder 	immune
Immunocompromised Host 	immune
Bacteremia 	immune
Septicemia 	immune
"Lupus erythematosus, systemic "	immune
Sepsis syndrome 	immune
End stage renal failure 	Kidney
"Kidney failure, chronic "	Kidney
Glomerular filtration rate 	Kidney
Kidney diseases 	Kidney
Kidney failure 	Kidney
Renal function 	Kidney
Liver diseases 	Liver
Non-alcoholic fatty liver 	Liver
Liver and intrahepatic biliary tract carcinoma 	Liver
Chronic liver disease	Liver
Depressive disorder 	Neurological/behavioural
Dementia 	Neurological/behavioural
Pre-eclampsia 	Pregnancy
Pregnancy 	Pregnancy
Hypertension induced by pregnancy 	Pregnancy
Tuberculosis 	Respiratory
"Sleep apnea, obstructive "	Respiratory
Pneumonia 	Respiratory
Chronic obstructive airway disease 	Respiratory
Respiration disorders 	Respiratory
"Respiratory distress syndrome, adult "	Respiratory
Respiratory tract infections 	Respiratory
Respiratory failure 	Respiratory
Acute respiratory failure 	Respiratory
Metabolic syndrome 	Other
Cessation of life 	Other
Malnutrition 	Other
Diabetic 	Other
Multiple organ failure	Other
Fibrosis 	Other
Deglutition disorders 	Other
Vitamin D deficiency 	Other
Primary carcinoma of the liver cells 	Cancer
Malignant neoplasm of stomach 	Cancer
Malignant neoplasm of prostate 	Cancer
Malignant neoplasm of lung 	Cancer
Common neoplasm 	Cancer
Liver neoplasms 	Cancer
Malignant disease 	Cancer
Carcinoma of the large intestine 	Cancer
Pancreatic carcinoma 	Cancer
