name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score
Antithymoglobulin (phsu),2.42e-10,1.55,12,699,4,12.21
Enteral Nutrition (topp),1.94e-15,3.12,73,552,25,82.65
Endometrium (bpoc),2.42e-17,0.37,89,237,8,122.42
hepatoma cell (cell),2.29e-17,0.13,3,42,0,3.21
Caseins (aapp),4.71e-06,0.26,24,22,0,42.17
Cytoplasmic Granules (celc),2.29e-20,0.08,1,30,0,1.03
Multiparity (orgf),2.52e-08,2.98,138,205,9,230.9
Calmodulin (aapp),6.17e-65,0.02,2,16,0,2.25
Etoposide (carb),5.08e-39,0.82,3,925,2,3.01
Phosphorylation (moft),4.57e-134,0.15,29,415,0,31.03
procalcitonin (aapp),1.06e-06,1.73,13,572,1,13.3
DNA Binding (genf),2.35e-21,0.09,2,36,0,2.11
"Myocytes, Smooth Muscle (cell)",1.45e-225,0.13,30,571,1,31.58
"Aged, 80 and over (aggp)",6.03e-13,5.11,22,161,14,25.01
teleost (fish),1.55e-07,0.12,2,14,0,2.29
Schistosomiasis (dsyn),1.48e-07,0.43,11,200,0,11.61
impulsivity (inbe),1.33e-07,1.49,38,10,0,12.63
Clients (popg),1.11e-06,0.43,41,127,3,54.24
Vasodilator Agents (phsu),9.15e-09,0.88,7,274,3,7.18
Hypothalamic amenorrhea (dsyn),1.29e-10,2.79,38,1,0,1.03
Allogeneic bone marrow transplantation (topp),8.27e-14,1.29,2,417,0,2.01
Veterans (popg),1.1e-12,1.63,169,607,51,216.05
Seizures (sosy),1.19e-21,0.9,175,1979,30,190.47
Thrombocytopenia (dsyn),9.93e-37,1.16,23,1490,8,23.36
small molecule (orch),4.39e-12,0.36,4,301,1,4.05
Reporting (hlca),8.67e-40,2.96,171,574,8,221.94
Drug Interactions (moft),2.09e-27,0.33,101,294,4,135.7
Octreotide|BGLAP (aapp),4.55e-18,83.6,13,126,1,14.34
Upper Extremity (bpoc),1.64e-18,1.43,520,2061,37,651.2
CD2 gene|CD2 (gngm),9.49e-15,0.14,5,36,0,5.69
Autopsy (diap),6.09e-23,2.71,31,3349,18,31.29
Supportive care (topp),1.03e-07,2.78,13,1205,6,13.14
Non-alcoholic fatty liver (dsyn),2.21e-35,3.63,1828,724,77,1010.75
sorafenib (phsu),2.29e-20,1.24,5,670,1,5.04
"Rats, Inbred WKY (mamm)",3.56e-14,0.09,3,19,0,3.47
American Indians (popg),8.16e-19,4.47,79,131,5,126.64
Cancer Model (emod),2.64e-07,0.87,3,190,2,3.05
Immunologic Deficiency Syndromes (dsyn),3.15e-28,0.87,15,742,1,15.3
Pedicles (bpoc),1.41e-09,0.48,48,231,5,57.97
Epoprostenol (bacs),8.19e-56,0.25,9,312,3,9.26
Thyroid associated opthalmopathies (dsyn),1.56e-09,0.12,8,9,0,15.11
oxaliplatin (orch),1.81e-12,1.83,15,1032,5,15.22
Quercetin (vita),2.56e-27,0.18,22,87,2,27.56
Peripheral Nerves (bpoc),4.31e-15,0.24,19,82,0,23.4
Dapsone (phsu),1.65e-10,0.21,4,47,0,4.34
Pancreatitis (dsyn),6.81e-22,1.18,103,2440,59,107.35
Epitopes (imft),7.8e-84,0.15,7,245,1,7.2
Hypothalamic structure (bpoc),1.62e-50,0.2,106,129,3,193.1
Chart evaluation by healthcare professional (hlca),2.73e-79,5.87,153,456,15,204.34
Antibiotic therapy (topp),2.54e-09,1.88,14,829,3,14.24
Difluoromethylornithine (aapp),6.52e-11,0.08,1,14,0,1.07
ORALIT (inch),1.64e-14,7.75,205,134,8,221.59
"Deficiency, immune (dsyn)",1.16e-06,1.03,1,153,0,1.01
Socioeconomic Factors (grpa),2.07e-18,7.35,26,53,4,38.75
Stromal Cells (cell),1.3e-39,0.27,31,264,0,34.64
"Insulin, Glargine, Human|INS (aapp)",2.47e-19,282.38,83,18,2,21.9
Distal subtotal pancreatectomy (topp),4.99e-10,4.61,23,333,21,24.59
pro-brain natriuretic peptide (1-76)|NPPB (aapp),7.5e-09,5.91,12,37,4,15.89
Female reproductive neoplasm malignant NOS (neop),6.44e-09,2.39,49,205,7,60.71
"Lymphoma, Follicular (neop)",2.06e-11,1.59,7,642,3,7.08
integral to membrane (celc),8.14e-26,0.29,7,178,1,7.28
Complement System Proteins (aapp),2.22e-64,0.32,39,536,4,41.84
Transcript (nnon),5.1e-28,0.27,28,191,0,32.1
Lycopersicon esculentum (plnt),4.12e-20,0.15,2,61,0,2.07
Hemophilia A (dsyn),2.23e-11,0.5,32,318,3,35.22
Radioisotopes (elii),1.18e-15,0.25,8,88,0,8.73
Kidney Transplantation (topp),2.46e-43,3.18,237,2266,104,261.79
Alkaline Phosphatase (aapp),2.32e-13,0.48,154,439,7,208.02
Coenzymes (bacs),6.03e-07,0.08,2,6,0,2.67
Virus (virs),1.54e-08,0.6,26,2123,1,26.32
Levamisole (orch),1.45e-07,0.28,11,50,0,13.42
Focal Adhesion Protein-Tyrosine Kinases (aapp),2.77e-24,0.17,1,84,0,1.01
Greece (geoa),8.54e-08,4.62,15,43,2,20.23
Total mesorectal excision (topp),4.99e-21,5.4,42,353,22,47.0
Chitin (carb),3.89e-09,0.24,1,45,0,1.02
RAC-Alpha Serine/Threonine Kinase|AKT1 (aapp),1.29e-16,0.16,3,54,0,3.17
Nitroglycerin (phsu),7.26e-20,0.26,12,119,2,13.21
melanocyte (cell),4.17e-30,0.12,1,74,0,1.01
clinical aspects (clna),3.32e-73,5.43,171,874,29,204.46
Left ventricular diastolic dysfunction (dsyn),7.94e-24,5.11,80,131,16,128.85
Mesothelial cell (cell),5.08e-06,0.26,1,35,0,1.03
Protein complex (aapp),3.16e-27,0.11,7,48,0,8.02
Anastomotic leak (patf),2.53e-20,7.67,26,360,25,27.88
Free Calcium (elii),1.4e-29,0.03,2,11,0,2.36
Activated Charcoal (orch),2.12e-17,0.13,1,43,0,1.02
Minilaparotomy (diap),1.69e-06,4.67,29,42,5,49.02
Multienzyme Complexes (aapp),6.49e-09,0.12,1,20,0,1.05
Gastrin (aapp),4.26e-07,0.2,5,28,0,5.89
Hyperplasia (patf),4.07e-21,0.42,69,355,1,82.41
Fluorescein Angiography (diap),9.24e-08,0.12,5,11,0,7.27
Thalidomide (hops),1.35e-08,0.7,4,478,2,4.03
Cell Death (celf),2.37e-183,0.22,6,888,1,6.04
Heparin (bacs),1.57e-11,0.51,55,1125,12,57.69
EPHB2|MAPK1 (gngm),5.98e-73,0.19,7,283,0,7.17
Lipoma (neop),1.07e-06,0.27,20,35,0,31.43
Penicillamine (aapp),1.47e-24,0.08,1,38,0,1.03
Fibrin (phsu),2.8e-18,0.35,10,169,2,10.59
Myosin Light Chain Kinase (aapp),1.55e-09,0.1,1,17,0,1.06
"Hospitals, Maternity (hcro)",5.05e-13,5.61,23,66,3,31.02
Epstein-Barr Virus Infections (dsyn),1.33e-08,0.78,1,230,0,1.0
Pain score (fndg),4.75e-06,1.95,69,44,3,72.06
Transferrin|TF (aapp),6.52e-12,0.22,14,43,5,18.56
beta-Galactosidase (aapp),9.73e-33,0.05,2,30,0,2.13
Reactive Oxygen Species (bacs),4.53e-149,0.3,123,1199,4,135.62
Risk (qlco),2.15e-192,4.51,475,1033,78,693.42
"Fracture Fixation, Internal (topp)",4.5e-12,0.53,46,321,6,52.59
imbalance (sosy),4.54e-06,1.82,175,409,9,249.88
Pilum (celc),8.82e-17,0.14,1,45,0,1.02
Structure of cerebral artery (bpoc),1.41e-09,0.28,4,62,1,4.26
Potassium (bacs),7.68e-14,0.46,99,343,7,127.57
Follow-up visit (hlca),4.63e-06,3.02,19,48,3,26.52
Dacarbazine (phsu),2.21e-09,0.93,1,191,0,1.01
