Intermediate	Intermediate_category
Metabolic syndrome 	dsyn
Pancreatitis 	dsyn
Hyperglycemia 	dsyn
Tuberculosis 	dsyn
Primary carcinoma of the liver cells 	neop
Cerebrovascular accident 	dsyn
Cardiovascular Diseases 	dsyn
Dyslipidemias 	dsyn
Sleep Apnea, Obstructive 	dsyn
Depressive disorder 	mobd
Liver diseases 	dsyn
Anemia 	dsyn
Malignant neoplasm of stomach 	neop
Heart failure 	dsyn
Malignant neoplasm of prostate 	neop
Malignant neoplasm of lung 	neop
Pre-Eclampsia 	dsyn
End stage renal failure 	dsyn
Dementia 	mobd
Carcinoma of the Large Intestine 	neop
Non-alcoholic fatty liver 	dsyn
Pancreatic carcinoma 	neop
Pneumonia 	dsyn
Malnutrition 	dsyn
Atherosclerosis 	dsyn
Kidney Failure, Chronic 	dsyn
Myocardial Infarction 	dsyn
Inflammatory disorder 	dsyn
Diabetic 	fndg
Common Neoplasm 	neop
Glomerular Filtration Rate 	ortf
Cessation of life 	orgf
Kidney Diseases 	dsyn
Multiple Organ Failure 	patf
Sepsis Syndrome 	dsyn
Ischemic stroke 	dsyn
Acute coronary syndrome 	dsyn
Liver and Intrahepatic Biliary Tract Carcinoma 	neop
Chronic liver disease NOS 	dsyn
Liver neoplasms 	neop
Fibrosis 	patf
Atrial Fibrillation 	patf
Coronary heart disease 	dsyn
Deglutition Disorders 	dsyn
Systemic arterial pressure 	fndg
Thrombosis 	patf
Cerebrovascular Disorders 	patf
Chronic Obstructive Airway Disease 	dsyn
Vitamin D Deficiency 	dsyn
Malignant disease 	dsyn
Acute myocardial infarction 	dsyn
Sinus rhythm 	fndg
Respiration Disorders 	dsyn
Pregnancy 	orgf
Hypertension induced by pregnancy 	dsyn
Kidney Failure 	dsyn
Cardiomyopathies 	dsyn
Myocardial Ischemia 	dsyn
Respiratory Distress Syndrome, Adult 	dsyn
Septicemia 	dsyn
Immunocompromised Host 	fndg
Respiratory Tract Infections 	dsyn
Bacteremia 	dsyn
Respiratory Failure 	dsyn
Acute respiratory failure 	dsyn
Peripheral Vascular Diseases 	dsyn
Lupus Erythematosus, Systemic 	dsyn
Renal function 	ortf
Vascular calcification 	patf
Heart Arrest 	patf
Myocardial rupture 	dsyn
Shock, Cardiogenic 	patf
Hemorrhage 	fndg
Ischemia 	dsyn
Congestive heart failure 	dsyn
Ventricular Dysfunction, Left 	patf
Mitral Valve Insufficiency 	dsyn
