Intermediate	Intermediate_category
Metabolic syndrome 	dsyn
Pancreatitis 	dsyn
Hyperglycemia 	dsyn
Tuberculosis 	dsyn
Primary carcinoma of the liver cells 	neop
Cerebrovascular accident 	dsyn
Cardiovascular Diseases 	dsyn
Dyslipidemias 	dsyn
Sleep Apnea, Obstructive 	dsyn
Depressive disorder 	mobd
Liver diseases 	dsyn
Anemia 	dsyn
Malignant neoplasm of stomach 	neop
Heart failure 	dsyn
Malignant neoplasm of prostate 	neop
Chronic Disease 	dsyn
Malignant neoplasm of lung 	neop
Pre-Eclampsia 	dsyn
Diabetes Mellitus 	dsyn
End stage renal failure 	dsyn
Dementia 	mobd
Carcinoma of the Large Intestine 	neop
Coronary Arteriosclerosis 	dsyn
Non-alcoholic fatty liver 	dsyn
Pancreatic carcinoma 	neop
Pneumonia 	dsyn
Malnutrition 	dsyn
Atherosclerosis 	dsyn
Kidney Failure, Chronic 	dsyn
Myocardial Infarction 	dsyn
General Population 	humn
Inflammatory disorder 	dsyn
Diabetic 	fndg
Opportunistic Infections 	dsyn
Common Neoplasm 	neop
Participant 	humn
Glomerular Filtration Rate 	ortf
CARDIAC PATIENT 	podg
American 	popg
Critical Illness 	dsyn
cohort 	humn
Cessation of life 	orgf
Workers 	humn
Pathogenesis 	patf
Kidney Diseases 	dsyn
Octogenarians 	aggp
CARDIAC EVENT 	dsyn
Critically ill children 	podg
African American 	popg
Heart Diseases 	dsyn
Cardiovascular morbidity 	dsyn
Hospitalization 	hlca
Multiple Organ Failure 	patf
Sepsis Syndrome 	dsyn
Ischemic stroke 	dsyn
Acute coronary syndrome 	dsyn
Hospitalized Patients 	humn
Traumatic Brain Injury 	inpo
inpatient 	humn
Males 	popg
Recipient, Transplant 	podg
Liver and Intrahepatic Biliary Tract Carcinoma 	neop
Hispanics 	humn
Chronic liver disease NOS 	dsyn
Hepatitis C virus 	virs
Liver neoplasms 	neop
Fibrosis 	patf
Atrial Fibrillation 	patf
Human Age Group 	aggp
Population Group 	humn
Vascular Diseases 	dsyn
Black race 	popg
Neurologist 	humn
Coronary heart disease 	dsyn
Survivors 	humn
Deglutition Disorders 	dsyn
Young adult 	aggp
VICTIM 	humn
Disability NOS 	patf
Systemic arterial pressure 	fndg
Control Groups 	humn
Ethnic group 	popg
Teams 	humn
Thrombosis 	patf
Cerebrovascular Disorders 	patf
Middle Aged 	aggp
Western society 	popg
Long-Term Survivors 	podg
Death 	finding
Cancer Survivor 	podg
Chronic Obstructive Airway Disease 	dsyn
modern society 	popg
follow-up 	hlca
Vitamin D Deficiency 	dsyn
Japanese Population 	popg
High Risk Populations 	popg
Diabetes Mellitus, Insulin-Dependent 	dsyn
Pregnant Women 	popg
Surgical Patients 	podg
Cancer Patient 	podg
Malignant disease 	dsyn
Depressed mood 	fndg
Death, Sudden 	patf
Hospital specialist 	humn
Caucasoid Race 	popg
Cardiac Death 	patf
Physical findings 	sosy
Veterans 	popg
Outpatients 	podg
Hospital Readmissions 	hlca
Death, Sudden, Cardiac 	patf
Diagnosis 	hlca
Acute myocardial infarction 	dsyn
Sinus rhythm 	fndg
Hospital admission 	hlca
Miner 	general
Respiration Disorders 	dsyn
Pregnancy 	orgf
Hypertension induced by pregnancy 	dsyn
Pregnancy Complications 	dsyn
Morbidity, perinatal 	patf
Kidney Failure 	dsyn
Metabolic Diseases 	dsyn
Cardiomyopathies 	dsyn
Myocardial Ischemia 	dsyn
Pneumocystis 	fngs
Acinetobacter baumannii 	bact
Respiratory syncytial virus 	virs
Respiratory Distress Syndrome, Adult 	dsyn
Septicemia 	dsyn
Immunocompromised Host 	fndg
Respiratory Tract Infections 	dsyn
Streptococcus pneumoniae 	bact
Bacteremia 	dsyn
Respiratory Failure 	dsyn
Infections, Hospital 	dsyn
Pseudomonas aeruginosa 	bact
Pneumocystis jiroveci 	fngs
Staphylococcus aureus 	bact
Acute respiratory failure 	dsyn
Cytomegalovirus 	virs
nursing home resident 	popg
Peripheral Vascular Diseases 	dsyn
Lupus Erythematosus, Systemic 	dsyn
Renal function 	ortf
Vascular calcification 	patf
Heart Arrest 	patf
Myocardial rupture 	dsyn
Shock, Cardiogenic 	patf
Hemorrhage 	fndg
Mice, Knockout 	mamm
Ischemia 	dsyn
network 	popg
Congestive heart failure 	dsyn
Ventricular Dysfunction, Left 	patf
Mitral Valve Insufficiency 	dsyn
