name1,name2,name3,name4,name5,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),PROCESS_OF,General Population (popg),2.74e-10,44.08,8,33,0,9.94,1.0
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),COEXISTS_WITH,Cardiovascular Diseases (dsyn),4.43e-06,44.63,8,16,0,12.0,9.0
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),ISA,Cardiovascular Diseases (dsyn),1.54e-11,44.43,8,71,0,8.9,5.0
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),PREDISPOSES,Cardiovascular morbidity (dsyn),1.54e-11,58.27,8,35,0,9.83,21.0
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),1.54e-11,44.36,8,110,0,8.58,21.0
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),PROCESS_OF,cohort (popg),1.37e-09,43.69,8,37,0,9.73,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Glomerular Filtration Rate (ortf),2.61e-06,45.62,6,9,0,10.0,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,General Population (popg),1.88e-08,44.68,6,194,0,6.19,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Middle Aged (aggp),1.92e-08,43.4,6,17,0,8.12,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Hospitalization (hlca),1.88e-08,44.67,6,29,0,7.24,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Western society (popg),1.9e-08,46.85,6,14,0,8.57,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),ISA,Heart failure (dsyn),1.08e-06,42.66,6,12,0,9.0,5.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),CAUSES,Disability NOS (patf),1.88e-08,41.48,6,48,0,6.75,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (popg),1.88e-08,44.87,6,29,0,7.24,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Participant (humn),1.88e-08,41.92,6,98,0,6.37,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Metabolic syndrome (dsyn),2.12e-08,40.58,6,24,0,7.5,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,Long-Term Survivors (podg),1.95e-07,46.99,6,10,0,9.6,1.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),AFFECTS,Pathogenesis (patf),3.1e-08,39.35,6,37,0,6.97,7.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),COEXISTS_WITH,Diabetes Mellitus (dsyn),2.56e-08,41.15,6,20,0,7.8,8.0
Adiponectin (aapp),ASSOCIATED_WITH,Cardiovascular Diseases (dsyn),PROCESS_OF,cohort (popg),1.88e-08,42.81,6,94,0,6.38,1.0
