name1,name2,name3,name4,name5,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),PROCESS_OF,General Population (humn),2.59e-10,66.01,91,33,0,44.97,1.0
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),COEXISTS_WITH,Cardiovascular Diseases (dsyn),4.43e-06,66.55,91,16,0,18.81,9.0
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),ISA,Cardiovascular Diseases (dsyn),3.33e-25,66.36,91,71,0,126.4,5.0
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),PREDISPOSES,Cardiovascular morbidity (dsyn),1.96e-32,80.2,91,35,0,48.46,21.0
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),3.09e-38,66.28,91,110,0,166.28,21.0
Body mass index (clna),PREDISPOSES,Metabolic syndrome (dsyn),PROCESS_OF,cohort (humn),1.35e-09,65.62,91,37,0,52.04,1.0
Intravenous Glucose Tolerance Test (diap),ADMINISTERED_TO,Participant (humn),USES,Medicare (rnlw),1.71e-06,39.14,5,18,0,6.39,6.0
Ambulatory Care Facilities (hcro),LOCATION_OF,Body mass index procedure (diap),DIAGNOSES,Chronic Obstructive Airway Disease (dsyn),3.28e-08,64.82,17,13,0,22.94,2.0
Ambulatory Care Facilities (hcro),LOCATION_OF,Body mass index procedure (diap),AFFECTS,Postoperative Complications (patf),3.25e-08,67.75,17,11,0,18.12,2.0
Ambulatory Care Facilities (hcro),LOCATION_OF,Body mass index procedure (diap),DIAGNOSES,Heart failure (dsyn),3.42e-10,68.96,17,13,0,22.94,2.0
Ambulatory Care Facilities (hcro),LOCATION_OF,Body mass index procedure (diap),ISA,Diagnosis (hlca),2.75e-16,64.25,17,27,0,27.7,2.0
Breast cancer invasive NOS (neop),PROCESS_OF,Participant (humn),USES,Medicare (rnlw),1.18e-06,24.52,6,18,0,8.0,1.0
Coronary Arteriosclerosis (dsyn),AFFECTS,Metabolic syndrome (dsyn),PROCESS_OF,General Population (humn),4.82e-07,26.23,6,33,0,7.09,1.0
Coronary Arteriosclerosis (dsyn),AFFECTS,Metabolic syndrome (dsyn),COEXISTS_WITH,Cardiovascular Diseases (dsyn),4.91e-06,26.77,6,16,0,8.25,7.0
Coronary Arteriosclerosis (dsyn),AFFECTS,Metabolic syndrome (dsyn),ISA,Cardiovascular Diseases (dsyn),4.81e-07,26.57,6,71,0,6.51,5.0
Coronary Arteriosclerosis (dsyn),AFFECTS,Metabolic syndrome (dsyn),PREDISPOSES,Cardiovascular morbidity (dsyn),4.81e-07,40.42,6,35,0,7.03,7.0
Coronary Arteriosclerosis (dsyn),AFFECTS,Metabolic syndrome (dsyn),PREDISPOSES,Cardiovascular Diseases (dsyn),4.81e-07,26.5,6,110,0,6.33,7.0
Coronary Arteriosclerosis (dsyn),AFFECTS,Metabolic syndrome (dsyn),PROCESS_OF,cohort (humn),4.83e-07,25.84,6,37,0,6.97,1.0
