name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Indomethacin/pharmacology,4.22e-08,0.11,2,14,0,2.29,4.0
Heart Failure/ethnology,6.95e-11,11.98,6,72,10,6.5,3.0
Cataract Extraction,1.76e-16,0.05,1,12,1,1.08,4.0
Blood Proteins,9.56e-29,0.02,1,8,0,1.12,3.0
Primary Health Care,2.02e-06,1.37,159,259,17,256.61,4.0
Inflammation/etiology,1.29e-27,3.64,75,195,9,103.85,3.0
Venous Thromboembolism/etiology,3.22e-36,9.51,42,128,12,55.78,5.0
Diabetes Complications/complications,4.57e-23,8.88,29,69,5,41.19,3.0
Spermatozoa,3.4e-07,0.1,6,2,0,2.67,3.0
Swine/metabolism,7.26e-09,0.07,1,11,0,1.09,7.0
Medical Records,1.32e-75,0.08,23,78,1,29.78,4.0
Muscle Contraction,1.13e-12,0.16,26,4,0,4.62,4.0
Internship and Residency,1.47e-17,0.32,23,158,4,26.35,4.0
"Endothelium, Vascular/cytology",9.25e-11,0.15,4,31,0,4.52,4.0
"Muscle, Skeletal/physiopathology",1.45e-15,2.44,168,61,12,83.15,3.0
"Anastomosis, Roux-en-Y",9.1e-07,8.2,22,21,9,41.05,3.0
Insulin/pharmacology,4.83e-06,0.82,159,60,0,82.64,7.0
Glucose Tolerance Test,1.12e-14,3.28,155,28,9,33.06,4.0
Hyperglycemia/etiology,3.66e-21,5.3,38,91,6,53.87,4.0
Staphylococcal Infections/drug therapy,7.04e-11,1.35,1,358,1,1.0,4.0
"Drug Resistance, Bacterial",4.43e-19,0.86,2,378,0,2.01,3.0
Skin/injuries,3.91e-07,0.27,3,43,0,3.21,2.0
Bacterial Proteins/metabolism,2.78e-84,0.13,1,222,0,1.0,3.0
Smoking Cessation/statistics & numerical data,4.06e-06,2.95,28,127,1,34.17,5.0
"Polymorphism, Single Nucleotide/genetics",4.5e-12,3.36,382,438,13,715.16,4.0
DNA/analysis,4.44e-25,0.09,8,27,2,10.37,3.0
Food Services,7.39e-10,1.9,35,4,1,4.46,4.0
C-Reactive Protein/metabolism,6.08e-209,12.6,718,644,58,1221.63,4.0
Action Potentials,3.29e-12,0.04,1,8,0,1.12,3.0
Longevity/physiology,7.33e-09,4.58,23,279,15,24.9,2.0
Vaginal Smears,1.79e-09,0.25,6,54,0,6.67,3.0
