Cancer	Cardiovascular	Immune	Kidney	Liver	Neurological/behavioural	Pregnancy	Respiratory	Other
Primary carcinoma of the liver cells 	Heart failure 	Pancreatitis 	End stage renal failure 	Liver diseases 	Depressive disorder 	Pre-Eclampsia 	Tuberculosis 	Metabolic syndrome 
Malignant neoplasm of stomach 	Anemia 	Inflammatory disorder 	"Kidney Failure, Chronic "	Non-alcoholic fatty liver 	Dementia 	Pregnancy 	"Sleep Apnea, Obstructive "	Cessation of life 
Malignant neoplasm of prostate 	Dyslipidemias 	Immunocompromised Host 	Glomerular Filtration Rate 	Liver and Intrahepatic Biliary Tract Carcinoma 		Hypertension induced by pregnancy 	Pneumonia 	Malnutrition 
Malignant neoplasm of lung 	Cerebrovascular accident 	Bacteremia 	Kidney Diseases 	Chronic liver disease			Chronic Obstructive Airway Disease 	Diabetic 
Common Neoplasm 	Cardiovascular Diseases 	Septicemia 	Kidney Failure 				Respiration Disorders 	Multiple Organ Failure 
Liver neoplasms 	Atherosclerosis 	"Lupus Erythematosus, Systemic "	Renal function 				"Respiratory Distress Syndrome, Adult "	Fibrosis 
Malignant disease 	Myocardial Infarction 	Sepsis Syndrome 					Respiratory Tract Infections 	Deglutition Disorders 
Carcinoma of the Large Intestine 	Ischemic stroke 						Respiratory Failure 	Vitamin D Deficiency 
Pancreatic carcinoma 	Acute coronary syndrome 						Acute respiratory failure 	
	Atrial Fibrillation 							
	Coronary heart disease 							
	Systemic arterial pressure 							
	Thrombosis 							
	Cerebrovascular Disorders 							
	Acute myocardial infarction 							
	Sinus rhythm 							
	Cardiomyopathies 							
	Myocardial Ischemia 							
	Peripheral Vascular Diseases 							
	Vascular calcification 							
	Heart Arrest 							
	Myocardial rupture 							
	"Shock, Cardiogenic "							
	Hemorrhage 							
	Ischemia 							
	Congestive heart failure 							
	"Ventricular Dysfunction, Left "							
	Mitral Valve Insufficiency 							
	Hyperglycaemia							
