Metabolite	Label	Class	Subclass	Study
ala	Alanine (mmol/l)	Amino acids	Amino acids	Both
gln	Glutamine (mmol/l)	Amino acids	Amino acids	Both
gly	Glycine  (mmol/l)	Amino acids	Amino acids	Interval
his	Histidine (mmol/l)	Amino acids	Amino acids	Both
phe	Phenylalanine (mmol/l)	Amino acids	Aromatic amino acids	Both
tyr	Tyrosine (mmol/l)	Amino acids	Aromatic amino acids	Both
ile	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	Both
leu	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	Both
val	Valine (mmol/l)	Amino acids	Branched-chain amino acids	Both
apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Both
apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Both
estc	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol	Both
freec	Free cholesterol (mmol/l)	Cholesterol	Cholesterol	Both
hdl2c	Total cholesterol in HDL2 (mmol/l)	Cholesterol	Cholesterol	Interval
hdl3c	Total cholesterol in HDL3 (mmol/l)	Cholesterol	Cholesterol	Interval
hdlc	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	Both
ldlc	Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	Both
remnantc	Remnant cholesterol (non-HDL, non-LDL -cholesterol) (mmol/l)	Cholesterol	Cholesterol	Interval
serumc	Serum total cholesterol (mmol/l)	Cholesterol	Cholesterol	Both
vldlc	Total cholesterol in VLDL (mmol/l)	Cholesterol	Cholesterol	Interval
cla	Conjugated linoleic acid (mmol/l)	Fatty acids	Fatty acids	Interval
dha	22:6, docosahexaenoic acid (mmol/l)	Fatty acids	Fatty acids	Both
falen	Estimated description of fatty acid chain length, not actual carbon number	Fatty acids	Fatty acids	Both
faw3	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids	Both
faw6	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids	Both
la	18:2, linoleic acid (mmol/l)	Fatty acids	Fatty acids	Both
mufa	Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)	Fatty acids	Fatty acids	Both
pufa	Polyunsaturated fatty acids (mmol/l)	Fatty acids	Fatty acids	Interval
sfa	Saturated fatty acids (mmol/l)	Fatty acids	Fatty acids	Interval
totfa	Total fatty acids (mmol/l)	Fatty acids	Fatty acids	Both
alb	Albumin  (signal area)	Fluid balance	Fluid balance	Both
crea	Creatinine (mmol/l)	Fluid balance	Fluid balance	Both
dag	Diacylglycerol (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Interval
hdltg	Triglycerides in HDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Interval
ldltg	Triglycerides in LDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Interval
pc	Phosphatidylcholine and other cholines (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Both
serumtg	Serum total triglycerides (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Both
sm	Sphingomyelins (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Both
totcho	Total cholines (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Interval
totpg	Total phosphoglycerides (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Both
vldltg	Triglycerides in VLDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Interval
cit	Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Kettunen
glc	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Both
glol	Glycerol  (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Kettunen
lac	Lactate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Both
pyr	Pyruvate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Both
gp	Glycoprotein acetyls, mainly a1-acid glycoprotein (mmol/l)	Inflammation	Inflammation	Kettunen
acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Both
ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Both
bohbut	3-hydroxybutyrate (mmol/l)	Ketone bodies	Ketone bodies	Kettunen
