id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	subcategory.outcome	originalname.outcome
Lu BF EU sex combined 7 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 7 SNPs	MR Egger	6	-0.0100588284633091	0.67431845223381	0.988812746242495	Keto acid	Acetoacetate
Lu BF EU sex combined 7 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 7 SNPs	Weighted median	6	0.109651914213725	0.165053874579365	0.506472635413451	Keto acid	Acetoacetate
Lu BF EU sex combined 7 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	6	0.0538831516536337	0.110778822059558	0.626681462246391	Keto acid	Acetoacetate
Lu BF EU sex combined 7 SNPs	838	Acetoacetate || id:838	Lu BF EU sex combined 7 SNPs	Weighted mode	6	0.112568683744585	0.225946981456878	0.639474471422073	Keto acid	Acetoacetate
Lu BF EU sex combined 7 SNPs	839	Acetate || id:839	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.0939792972094986	0.461182332072774	0.846560448167657	Metabolite salt	Acetate
Lu BF EU sex combined 7 SNPs	839	Acetate || id:839	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.145502249237626	0.130661032059856	0.265456988972481	Metabolite salt	Acetate
Lu BF EU sex combined 7 SNPs	839	Acetate || id:839	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.0387795459841165	0.0920209790371792	0.673447901637426	Metabolite salt	Acetate
Lu BF EU sex combined 7 SNPs	839	Acetate || id:839	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.203904754209072	0.187671620333793	0.318969092155329	Metabolite salt	Acetate
Lu BF EU sex combined 7 SNPs	840	Alanine || id:840	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.253198897498668	0.453752362583611	0.600897992225929	Amino acid	Alanine
Lu BF EU sex combined 7 SNPs	840	Alanine || id:840	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.0680162837968592	0.125554955679542	0.588007825253879	Amino acid	Alanine
Lu BF EU sex combined 7 SNPs	840	Alanine || id:840	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.016929877698482	0.0908833043771609	0.852224019287439	Amino acid	Alanine
Lu BF EU sex combined 7 SNPs	840	Alanine || id:840	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.066458359932887	0.165218088801316	0.701440894558559	Amino acid	Alanine
Lu BF EU sex combined 7 SNPs	841	Albumin || id:841	Lu BF EU sex combined 7 SNPs	MR Egger	6	0.720379866036392	1.15313702839676	0.56602641955256	Protein	Albumin
Lu BF EU sex combined 7 SNPs	841	Albumin || id:841	Lu BF EU sex combined 7 SNPs	Weighted median	6	0.104643002623427	0.17810381054155	0.556841509727027	Protein	Albumin
Lu BF EU sex combined 7 SNPs	841	Albumin || id:841	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	6	-0.0414388520888249	0.214190644150037	0.846593135606731	Protein	Albumin
Lu BF EU sex combined 7 SNPs	841	Albumin || id:841	Lu BF EU sex combined 7 SNPs	Weighted mode	6	0.19173895535088	0.205880210602191	0.394439257936899	Protein	Albumin
Lu BF EU sex combined 7 SNPs	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 7 SNPs	MR Egger	6	-1.32283789240495	1.62276208848582	0.460724458069137	Protein	Apolipoprotein A-I
Lu BF EU sex combined 7 SNPs	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 7 SNPs	Weighted median	6	-0.450351996847051	0.196025057487875	0.0215947901639371	Protein	Apolipoprotein A-I
Lu BF EU sex combined 7 SNPs	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	6	-0.0125131461236374	0.30303206083508	0.967062199760828	Protein	Apolipoprotein A-I
Lu BF EU sex combined 7 SNPs	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 7 SNPs	Weighted mode	6	-0.501905476964042	0.198423927313846	0.0525645363651056	Protein	Apolipoprotein A-I
Lu BF EU sex combined 7 SNPs	843	Apolipoprotein B || id:843	Lu BF EU sex combined 7 SNPs	MR Egger	7	-1.66831679857021	2.17184456546664	0.477086386190156	Protein	Apolipoprotein B
Lu BF EU sex combined 7 SNPs	843	Apolipoprotein B || id:843	Lu BF EU sex combined 7 SNPs	Weighted median	7	0.25713375490286	0.181652831366387	0.156915219245148	Protein	Apolipoprotein B
Lu BF EU sex combined 7 SNPs	843	Apolipoprotein B || id:843	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	-0.468055698163231	0.444226992502724	0.292047387267304	Protein	Apolipoprotein B
Lu BF EU sex combined 7 SNPs	843	Apolipoprotein B || id:843	Lu BF EU sex combined 7 SNPs	Weighted mode	7	0.0910367301133173	0.184483153004475	0.639221513569204	Protein	Apolipoprotein B
Lu BF EU sex combined 7 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 7 SNPs	MR Egger	7	0.739063211623397	0.644383782112851	0.303313456700341	Metabolites ratio	Ratio of bisallylic groups to double bonds
Lu BF EU sex combined 7 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 7 SNPs	Weighted median	7	-0.0400523951431803	0.176209977773282	0.820191059115775	Metabolites ratio	Ratio of bisallylic groups to double bonds
Lu BF EU sex combined 7 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 7 SNPs	Inverse variance weighted (multiplicative random effects)	7	0.064075063868707	0.142053995998368	0.651945349802867	Metabolites ratio	Ratio of bisallylic groups to double bonds
Lu BF EU sex combined 7 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Lu BF EU sex combined 7 SNPs	Weighted mode	7	-0.0555750934022965	0.248415070776516	0.830399075534124	Metabolites ratio	Ratio of bisallylic groups to double bonds
