name	Biomarker name	Unit	Group	Subgroup	Subgroup_unit	derived
Total_C	Total cholesterol	mmol/l	Cholesterol	Cholesterol		no
non_HDL_C	Total cholesterol minus HDL-C	mmol/l	Cholesterol	Cholesterol		no
Remnant_C	"Remnant cholesterol (non-HDL, non-LDL -cholesterol)"	mmol/l	Cholesterol	Cholesterol		no
VLDL_C	VLDL cholesterol	mmol/l	Cholesterol	Cholesterol		no
Clinical_LDL_C	Clinical LDL cholesterol	mmol/l	Cholesterol	Cholesterol		no
LDL_C	LDL cholesterol	mmol/l	Cholesterol	Cholesterol		no
HDL_C	HDL cholesterol	mmol/l	Cholesterol	Cholesterol		no
Total_TG	Total triglycerides	mmol/l	Triglycerides	Triglycerides		no
VLDL_TG	Triglycerides in VLDL	mmol/l	Triglycerides	Triglycerides		no
LDL_TG	Triglycerides in LDL	mmol/l	Triglycerides	Triglycerides		no
HDL_TG	Triglycerides in HDL	mmol/l	Triglycerides	Triglycerides		no
Total_PL	Total phospholipids in lipoprotein particles	mmol/l	Phospholipids	Phospholipids		no
VLDL_PL	Phospholipids in VLDL	mmol/l	Phospholipids	Phospholipids		no
LDL_PL	Phospholipids in LDL	mmol/l	Phospholipids	Phospholipids		no
HDL_PL	Phospholipids in HDL	mmol/l	Phospholipids	Phospholipids		no
Total_CE	Total esterified cholesterol	mmol/l	Cholesteryl esters	Cholesteryl esters		no
VLDL_CE	Cholesteryl esters in VLDL	mmol/l	Cholesteryl esters	Cholesteryl esters		no
LDL_CE	Cholesteryl esters in LDL	mmol/l	Cholesteryl esters	Cholesteryl esters		no
HDL_CE	Cholesteryl esters in HDL	mmol/l	Cholesteryl esters	Cholesteryl esters		no
Total_FC	Total free cholesterol	mmol/l	Free cholesterol	Free cholesterol		no
VLDL_FC	Free cholesterol in VLDL	mmol/l	Free cholesterol	Free cholesterol		no
LDL_FC	Free cholesterol in LDL	mmol/l	Free cholesterol	Free cholesterol		no
HDL_FC	Free cholesterol in HDL	mmol/l	Free cholesterol	Free cholesterol		no
Total_L	Total lipids in lipoprotein particles	mmol/l	Total lipids	Total lipids		no
VLDL_L	Total lipids in VLDL	mmol/l	Total lipids	Total lipids		no
LDL_L	Total lipids in LDL	mmol/l	Total lipids	Total lipids		no
HDL_L	Total lipids in HDL	mmol/l	Total lipids	Total lipids		no
Total_P	Total concentration of lipoprotein particles	mmol/l	Lipoprotein particle concentrations	Lipoprotein particle concentrations		no
VLDL_P	Concentration of VLDL particles	mmol/l	Lipoprotein particle concentrations	Lipoprotein particle concentrations		no
LDL_P	Concentration of LDL particles	mmol/l	Lipoprotein particle concentrations	Lipoprotein particle concentrations		no
HDL_P	Concentration of HDL particles	mmol/l	Lipoprotein particle concentrations	Lipoprotein particle concentrations		no
VLDL_size	Average diameter for VLDL particles	nm	Lipoprotein particle sizes	Lipoprotein particle sizes		no
LDL_size	Average diameter for LDL particles	nm	Lipoprotein particle sizes	Lipoprotein particle sizes		no
HDL_size	Average diameter for HDL particles	nm	Lipoprotein particle sizes	Lipoprotein particle sizes		no
Phosphoglyc	Phosphoglycerides	mmol/l	Other lipids	Other lipids		no
TG_by_PG	Ratio of triglycerides to phosphoglycerides	ratio	Other lipids	Other lipids		no
Cholines	Total cholines	mmol/l	Other lipids	Other lipids		no
Phosphatidylc	Phosphatidylcholines	mmol/l	Other lipids	Other lipids		no
Sphingomyelins	Sphingomyelins	mmol/l	Other lipids	Other lipids		no
