Name in TSV	Biomarker name	Unit	Group	Subgroup
Total_C	Total cholesterol	mmol/l	Cholesterol	
non_HDL_C	Total cholesterol minus HDL-C	mmol/l	Cholesterol	
Remnant_C	"Remnant cholesterol (non-HDL, non-LDL -cholesterol)"	mmol/l	Cholesterol	
VLDL_C	VLDL cholesterol	mmol/l	Cholesterol	
Clinical_LDL_C	Clinical LDL cholesterol	mmol/l	Cholesterol	
LDL_C	LDL cholesterol	mmol/l	Cholesterol	
HDL_C	HDL cholesterol	mmol/l	Cholesterol	
Total_TG	Total triglycerides	mmol/l	Triglycerides	
VLDL_TG	Triglycerides in VLDL	mmol/l	Triglycerides	
LDL_TG	Triglycerides in LDL	mmol/l	Triglycerides	
HDL_TG	Triglycerides in HDL	mmol/l	Triglycerides	
Total_PL	Total phospholipids in lipoprotein particles	mmol/l	Phospholipids	
VLDL_PL	Phospholipids in VLDL	mmol/l	Phospholipids	
LDL_PL	Phospholipids in LDL	mmol/l	Phospholipids	
HDL_PL	Phospholipids in HDL	mmol/l	Phospholipids	
Total_CE	Total esterified cholesterol	mmol/l	Cholesteryl esters	
VLDL_CE	Cholesteryl esters in VLDL	mmol/l	Cholesteryl esters	
LDL_CE	Cholesteryl esters in LDL	mmol/l	Cholesteryl esters	
HDL_CE	Cholesteryl esters in HDL	mmol/l	Cholesteryl esters	
Total_FC	Total free cholesterol	mmol/l	Free cholesterol	
VLDL_FC	Free cholesterol in VLDL	mmol/l	Free cholesterol	
LDL_FC	Free cholesterol in LDL	mmol/l	Free cholesterol	
HDL_FC	Free cholesterol in HDL	mmol/l	Free cholesterol	
Total_L	Total lipids in lipoprotein particles	mmol/l	Total lipids	
VLDL_L	Total lipids in VLDL	mmol/l	Total lipids	
LDL_L	Total lipids in LDL	mmol/l	Total lipids	
HDL_L	Total lipids in HDL	mmol/l	Total lipids	
Total_P	Total concentration of lipoprotein particles	mmol/l	Lipoprotein particle concentrations	
VLDL_P	Concentration of VLDL particles	mmol/l	Lipoprotein particle concentrations	
LDL_P	Concentration of LDL particles	mmol/l	Lipoprotein particle concentrations	
HDL_P	Concentration of HDL particles	mmol/l	Lipoprotein particle concentrations	
VLDL_size	Average diameter for VLDL particles	nm	Lipoprotein particle sizes	
LDL_size	Average diameter for LDL particles	nm	Lipoprotein particle sizes	
HDL_size	Average diameter for HDL particles	nm	Lipoprotein particle sizes	
Phosphoglyc	Phosphoglycerides	mmol/l	Other lipids	
TG_by_PG	Ratio of triglycerides to phosphoglycerides	ratio	Other lipids	
Cholines	Total cholines	mmol/l	Other lipids	
Phosphatidylc	Phosphatidylcholines	mmol/l	Other lipids	
Sphingomyelins	Sphingomyelins	mmol/l	Other lipids	
ApoB	Apolipoprotein B	g/l	Apolipoproteins	
ApoA1	Apolipoprotein A1	g/l	Apolipoproteins	
ApoB_by_ApoA1	Ratio of apolipoprotein B to apolipoprotein A1	ratio	Apolipoproteins	
Total_FA	Total fatty acids	mmol/l	Fatty acids	
Unsaturation	Degree of unsaturation	degree	Fatty acids	
