id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	metabolite	raw.label	class	subclass	label	derived_features	INTERVAL	abbreviation1	abbreviation2	label.no.units
Yengo BMI EU sex combined 941 SNPs	0bzA7q	XS-VLDL-PL.txt	Yengo BMI EU sex combined 941 SNPs	MR Egger	914	0.0185174088629272	0.0220814514983826	0.401915997312444	xsvldlpl	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Phospholipids  (mmol/l)	no	xsvldlpl	XS-VLDL-PL	XS-VLDL-PL	Phospholipids in very small VLDL
Yengo BMI EU sex combined 941 SNPs	0bzA7q	XS-VLDL-PL.txt	Yengo BMI EU sex combined 941 SNPs	Weighted median	914	-0.0171344309636633	0.0211620382102919	0.418125423290616	xsvldlpl	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Phospholipids  (mmol/l)	no	xsvldlpl	XS-VLDL-PL	XS-VLDL-PL	Phospholipids in very small VLDL
Yengo BMI EU sex combined 941 SNPs	0bzA7q	XS-VLDL-PL.txt	Yengo BMI EU sex combined 941 SNPs	Inverse variance weighted (multiplicative random effects)	914	-0.0175575346762579	0.0136920314913336	0.199731212498791	xsvldlpl	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Phospholipids  (mmol/l)	no	xsvldlpl	XS-VLDL-PL	XS-VLDL-PL	Phospholipids in very small VLDL
Yengo BMI EU sex combined 941 SNPs	0bzA7q	XS-VLDL-PL.txt	Yengo BMI EU sex combined 941 SNPs	Weighted mode	914	-0.0110666097186316	0.0272237198971257	0.68446600213319	xsvldlpl	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Phospholipids  (mmol/l)	no	xsvldlpl	XS-VLDL-PL	XS-VLDL-PL	Phospholipids in very small VLDL
Yengo BMI EU sex combined 941 SNPs	0HSQP7	Gly.txt	Yengo BMI EU sex combined 941 SNPs	MR Egger	914	-0.0189275890175144	0.0211585405463703	0.371258234668676	gly	Glycine  (mmol/l)	Amino acids	Amino acids	Glycine  (mmol/l)	no	gly	Gly	Gly	Glycine
Yengo BMI EU sex combined 941 SNPs	0HSQP7	Gly.txt	Yengo BMI EU sex combined 941 SNPs	Weighted median	914	0.0297269389979113	0.0211977147700461	0.160806198764024	gly	Glycine  (mmol/l)	Amino acids	Amino acids	Glycine  (mmol/l)	no	gly	Gly	Gly	Glycine
Yengo BMI EU sex combined 941 SNPs	0HSQP7	Gly.txt	Yengo BMI EU sex combined 941 SNPs	Inverse variance weighted (multiplicative random effects)	914	0.0721264334766231	0.013302228210808	5.88924601927096e-08	gly	Glycine  (mmol/l)	Amino acids	Amino acids	Glycine  (mmol/l)	no	gly	Gly	Gly	Glycine
Yengo BMI EU sex combined 941 SNPs	0HSQP7	Gly.txt	Yengo BMI EU sex combined 941 SNPs	Weighted mode	914	0.0396345799155142	0.0270429225544597	0.143096819329547	gly	Glycine  (mmol/l)	Amino acids	Amino acids	Glycine  (mmol/l)	no	gly	Gly	Gly	Glycine
Yengo BMI EU sex combined 941 SNPs	0P59FP	M-LDL-PL.txt	Yengo BMI EU sex combined 941 SNPs	MR Egger	914	-0.0358086485573564	0.0245324709902571	0.144732579774631	mldlpl	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Phospholipids (mmol/l)	no	mldlpl	M-LDL-PL	M-LDL-PL	Phospholipids in medium LDL
Yengo BMI EU sex combined 941 SNPs	0P59FP	M-LDL-PL.txt	Yengo BMI EU sex combined 941 SNPs	Weighted median	914	-0.0222397089057247	0.0210256383755728	0.290172905553788	mldlpl	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Phospholipids (mmol/l)	no	mldlpl	M-LDL-PL	M-LDL-PL	Phospholipids in medium LDL
Yengo BMI EU sex combined 941 SNPs	0P59FP	M-LDL-PL.txt	Yengo BMI EU sex combined 941 SNPs	Inverse variance weighted (multiplicative random effects)	914	-0.0186237824868115	0.0151818476440403	0.219930167378418	mldlpl	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Phospholipids (mmol/l)	no	mldlpl	M-LDL-PL	M-LDL-PL	Phospholipids in medium LDL
Yengo BMI EU sex combined 941 SNPs	0P59FP	M-LDL-PL.txt	Yengo BMI EU sex combined 941 SNPs	Weighted mode	914	-0.0263809434176046	0.026472200652195	0.319245708558327	mldlpl	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Phospholipids (mmol/l)	no	mldlpl	M-LDL-PL	M-LDL-PL	Phospholipids in medium LDL
Yengo BMI EU sex combined 941 SNPs	0pw6e0	XL-VLDL-FC.txt	Yengo BMI EU sex combined 941 SNPs	MR Egger	914	0.0123774910484765	0.0218915919080759	0.571941254356999	xlvldlfc	Free cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Free cholesterol (mmol/l)	no	xlvldlfc	XL-VLDL-FC	XL-VLDL-FC	Free cholesterol in very large VLDL
Yengo BMI EU sex combined 941 SNPs	0pw6e0	XL-VLDL-FC.txt	Yengo BMI EU sex combined 941 SNPs	Weighted median	914	-0.00845273316267611	0.0226862935036238	0.709452072299492	xlvldlfc	Free cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Free cholesterol (mmol/l)	no	xlvldlfc	XL-VLDL-FC	XL-VLDL-FC	Free cholesterol in very large VLDL
Yengo BMI EU sex combined 941 SNPs	0pw6e0	XL-VLDL-FC.txt	Yengo BMI EU sex combined 941 SNPs	Inverse variance weighted (multiplicative random effects)	914	-0.00515505050425005	0.0135450972556411	0.703511779649181	xlvldlfc	Free cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Free cholesterol (mmol/l)	no	xlvldlfc	XL-VLDL-FC	XL-VLDL-FC	Free cholesterol in very large VLDL
Yengo BMI EU sex combined 941 SNPs	0pw6e0	XL-VLDL-FC.txt	Yengo BMI EU sex combined 941 SNPs	Weighted mode	914	-0.0177278875217159	0.027117741684552	0.513445482840224	xlvldlfc	Free cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Free cholesterol (mmol/l)	no	xlvldlfc	XL-VLDL-FC	XL-VLDL-FC	Free cholesterol in very large VLDL
Yengo BMI EU sex combined 941 SNPs	1blxDs	L-LDL-CE.txt	Yengo BMI EU sex combined 941 SNPs	MR Egger	914	0.0140003381309754	0.0239963996592689	0.559744788364636	lldlce	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	no	lldlce	L-LDL-CE	L-LDL-CE	Cholesterol esters in large LDL
Yengo BMI EU sex combined 941 SNPs	1blxDs	L-LDL-CE.txt	Yengo BMI EU sex combined 941 SNPs	Weighted median	914	0.0326651846235138	0.0216760734514494	0.131818439144898	lldlce	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	no	lldlce	L-LDL-CE	L-LDL-CE	Cholesterol esters in large LDL
Yengo BMI EU sex combined 941 SNPs	1blxDs	L-LDL-CE.txt	Yengo BMI EU sex combined 941 SNPs	Inverse variance weighted (multiplicative random effects)	914	0.0114736209066535	0.0148439136408169	0.439551260105261	lldlce	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	no	lldlce	L-LDL-CE	L-LDL-CE	Cholesterol esters in large LDL
Yengo BMI EU sex combined 941 SNPs	1blxDs	L-LDL-CE.txt	Yengo BMI EU sex combined 941 SNPs	Weighted mode	914	0.0273847224221537	0.0218030658989805	0.209436085190685	lldlce	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	no	lldlce	L-LDL-CE	L-LDL-CE	Cholesterol esters in large LDL
Yengo BMI EU sex combined 941 SNPs	1Omz3D	S-VLDL-P.txt	Yengo BMI EU sex combined 941 SNPs	MR Egger	914	0.00484964624886726	0.0217928803400676	0.823948412682816	svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	no	svldlp	S-VLDL-P	S-VLDL-P	Concentration of small VLDL particles
Yengo BMI EU sex combined 941 SNPs	1Omz3D	S-VLDL-P.txt	Yengo BMI EU sex combined 941 SNPs	Weighted median	914	-0.00790246886056367	0.0201906305750677	0.695506861295971	svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	no	svldlp	S-VLDL-P	S-VLDL-P	Concentration of small VLDL particles
Yengo BMI EU sex combined 941 SNPs	1Omz3D	S-VLDL-P.txt	Yengo BMI EU sex combined 941 SNPs	Inverse variance weighted (multiplicative random effects)	914	-0.0404827096380694	0.0135324996246543	0.00277594614191654	svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	no	svldlp	S-VLDL-P	S-VLDL-P	Concentration of small VLDL particles
Yengo BMI EU sex combined 941 SNPs	1Omz3D	S-VLDL-P.txt	Yengo BMI EU sex combined 941 SNPs	Weighted mode	914	0.0120851277860798	0.0196024641811886	0.537711237672008	svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	no	svldlp	S-VLDL-P	S-VLDL-P	Concentration of small VLDL particles
Yengo BMI EU sex combined 941 SNPs	1SHQOT	L-VLDL-P.txt	Yengo BMI EU sex combined 941 SNPs	MR Egger	914	0.0180382304928193	0.0223716945778797	0.420281808204711	lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	no	lvldlp	L-VLDL-P	L-VLDL-P	Concentration of large VLDL particles
Yengo BMI EU sex combined 941 SNPs	1SHQOT	L-VLDL-P.txt	Yengo BMI EU sex combined 941 SNPs	Weighted median	914	0.0322326452600919	0.0222569338545919	0.14755919445162	lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	no	lvldlp	L-VLDL-P	L-VLDL-P	Concentration of large VLDL particles
Yengo BMI EU sex combined 941 SNPs	1SHQOT	L-VLDL-P.txt	Yengo BMI EU sex combined 941 SNPs	Inverse variance weighted (multiplicative random effects)	914	0.0369182020678983	0.0138448956219812	0.00766326310696003	lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	no	lvldlp	L-VLDL-P	L-VLDL-P	Concentration of large VLDL particles
Yengo BMI EU sex combined 941 SNPs	1SHQOT	L-VLDL-P.txt	Yengo BMI EU sex combined 941 SNPs	Weighted mode	914	0.0220184556014686	0.0251388820313775	0.381329720658558	lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	no	lvldlp	L-VLDL-P	L-VLDL-P	Concentration of large VLDL particles
