Subclass	Min	Max	Mean	Median
Very Small VLDL	1.97e-09	0.0309	0.00972	0.0079
Small VLDL	2.94e-09	0.0749	0.0223	0.0143
Medium VLDL	2.4e-09	0.102	0.0295	0.0175
Large VLDL	9.05e-10	0.0677	0.0194	0.0111
Very large VLDL	1.47e-10	0.0188	0.00537	0.00286
Extremely large VLDL	2.51e-11	0.00667	0.00194	0.000785
IDL	2.33e-09	0.0384	0.013	0.00835
Small LDL	4.36e-09	0.0232	0.00769	0.0046
Medium LDL	4.52e-09	0.0379	0.013	0.0083
Large LDL	4.3e-09	0.0526	0.0184	0.0112
Small HDL	9.7e-08	0.033	0.0105	0.0112
Medium HDL	-0.00848	0.00418	-0.00161	-0.0012
Large HDL	-0.124	-1.29e-07	-0.0422	-0.0456
Very large HDL	-0.078	-5.79e-08	-0.0253	-0.0225
Lipoprotein particle size	-0.0964	0.48	0.112	-0.00933
Ketone bodies	-0.00659	-0.000454	-0.00332	-0.00276
Inflammation	0.0663	0.0725	0.0704	0.0724
Glycolysis related metabolites	-0.00385	0.166	0.0491	0.0262
Glycerides and phospholipids	-0.00238	0.184	0.0436	0.00856
Fluid balance	-0.000533	0.00121	0.000193	0.000186
Fatty acids	1.57e-05	0.503	0.103	0.0434
Cholesterol	-0.0988	0.103	0.0229	0.0512
Apolipoproteins	-0.0346	0.0555	0.0193	0.0386
Branched-chain amino acids	0.00196	0.0106	0.00504	0.00414
Aromatic amino acids	0.000838	0.00343	0.00194	0.00184
Amino acids	-0.0093	0.0133	0.000761	-0.000662
