metabolite	raw.label	class	subclass	label	label.no.units.x	derived_features	abbreviation1	abbreviation2	label.no.units.y
acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no	AcAce	AcAce	Acetoacetate
ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no	Ace	Ace	Acetate
ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no	Ala	Ala	Alanine
alb	Albumin  (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no	Alb	Alb	Albumin
apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no	ApoA1	ApoA1	Apolipoprotein A-I
apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	no	ApoB	ApoB	Apolipoprotein B
apobapoa1	Ratio of apolipoprotein B to apolipoprotein A-I	Apolipoproteins	Apolipoproteins	Apolipoprotein B/A-I (g/l)	Apolipoprotein B/A-I	no	ApoB/ApoA1	ApoBbyApoA1	Ratio of apolipoprotein B to apolipoprotein A-I
bohbut	3-hydroxybutyrate (mmol/l)	Ketone bodies	Ketone bodies	Beta-hydroxybutyrate (mmol/l)	Beta-hydroxybutyrate	no	bOHBut	bOHBut	bOHBut
cit	Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Citrate (mmol/l)	Citrate	no	Cit	Cit	Citrate
cla	Conjugated linoleic acid (mmol/l)	Fatty acids	Fatty acids	Conjugated linoleic acid (mmol/l)	Conjugated linoleic acid	no	CLA	CLA	Conjugated linoleic acid
clafa	Ratio of conjugated linoleic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	Conjugated linoleic acid (%)	Ratio	yes	CLA/FA	CLAbyFA	Ratio of conjugated linoleic acid to total fatty acids
crea	Creatinine (mmol/l)	Fluid balance	Fluid balance	Creatinine (mmol/l)	Creatinine	no	Crea	Crea	Creatinine
dag	Diacylglycerol (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Diacylglycerol (mmol/l)	Diacylglycerol	no	DAG	DAG	Diacylglycerol
dagtg	Ratio of diacylglycerol to triglycerides (%)	Glycerides and phospholipids ratios	Glycerides and phospholipids ratios	Ratio of diacylglycerol to triglycerides (%)	Ratio	yes	DAG/TG	DAGbyTG	Ratio of diacylglycerol to triglycerides
dha	"22:6, docosahexaenoic acid (mmol/l)"	Fatty acids	Fatty acids	Docosahexaenoic acid (mmol/l)	Docosahexaenoic acid	no	DHA	DHA	"22:6, docosahexaenoic acid"
dhafa	Ratio of 22:6 docosahexaenoic acid to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	Docosahexaenoic acid (%)	Ratio	yes	DHA/FA	DHAbyFA	Ratio of 22:6 docosahexaenoic acid to total fatty acids
estc	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol	Esterified cholesterol (mmol/l)	Esterified C	no	EstC	EstC	Esterified cholesterol
falen	"Estimated description of fatty acid chain length, not actual carbon number"	Fatty acids	Fatty acids	Fatty acid chain length	Fatty acid chain length	no	FALen	FALen	"Estimated description of fatty acid chain length, not actual carbon number"
faw3	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids	n-3 fatty acids (mmol/l)	n-3 fatty acids	no	FAw3	FAw3	Omega-3 fatty acids
faw3fa	Ratio of omega-3 fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	n-3 fatty acids (%)	Ratio	yes	FAw3/FA	FAw3byFA	Ratio of omega-3 fatty acids to total fatty acids
faw6	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids	n-6 fatty acids (mmol/l)	n-6 fatty acids	no	FAw6	FAw6	Omega-6 fatty acids
faw6fa	Ratio of omega-6 fatty acids to total fatty acids (%)	Fatty acids ratios	Fatty acids ratios	n-6 fatty acids (%)	Ratio	yes	FAw6/FA	FAw6byFA	Ratio of omega-6 fatty acids to total fatty acids
freec	Free cholesterol (mmol/l)	Cholesterol	Cholesterol	Free cholesterol (mmol/l)	Free C	no	FreeC	FreeC	Free cholesterol
glc	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Glucose (mmol/l)	Glucose	no	Glc	Glc	Glucose
gln	Glutamine (mmol/l)	Amino acids	Amino acids	Glutamine (mmol/l)	Glutamine	no	Gln	Gln	Glutamine
glol	Glycerol  (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Glycerol  (mmol/l)	Glycerol	no	Glol	Glol	Glol
gly	Glycine  (mmol/l)	Amino acids	Amino acids	Glycine  (mmol/l)	Glycine	no	Gly	Gly	Glycine
gp	"Glycoprotein acetyls, mainly a1-acid glycoprotein (mmol/l)"	Inflammation	Inflammation	Glycoprotein acetyls (mmol/l)	Glycoprotein acetyls	no	GlycA	GlycA	Glycoprotein acetylation
hdl2c	Total cholesterol in HDL2 (mmol/l)	Cholesterol	Cholesterol	HDL2 cholesterol (mmol/l)	HDL2 C	no	HDL2-C	HDL2-C	Total cholesterol in HDL2
hdl3c	Total cholesterol in HDL3 (mmol/l)	Cholesterol	Cholesterol	HDL3 cholesterol (mmol/l)	HDL3 C	no	HDL3-C	HDL3-C	Total cholesterol in HDL3
hdlc	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	HDL cholesterol (mmol/l)	HDL C	no	HDL-C	HDL-C	Total cholesterol in HDL
hdld	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	HDL particle size (nm)	HDL particles size	no	HDL-D	HDL-D	Mean diameter for HDL particles
hdltg	Triglycerides in HDL (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	HDL triglycerides (mmol/l)	HDL triglycerides	no	HDL-TG	HDL-TG	Triglycerides in HDL
his	Histidine (mmol/l)	Amino acids	Amino acids	Histidine (mmol/l)	Histidine	no	His	His	Histidine
idlc	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	Total cholesterol	no	IDL-C	IDL-C	Total cholesterol in IDL
idlce	Cholesterol esters in IDL (mmol/l)	Lipoprotein subclasses	IDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	IDL-CE	IDL-CE	Cholesterol esters in IDL
idlcepct	Cholesterol esters in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	IDL-CE_%	IDL-CE_percent	Cholesterol esters to total lipids ratio in IDL
idlcpct	Total cholesterol in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	Total cholesterol to total lipid ratio (%)	Ratio	yes	IDL-C_%	IDL-C_percent	Total cholesterol to total lipids ratio in IDL
idlfc	Free cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Free cholesterol (mmol/l)	Free cholesterol	no	IDL-FC	IDL-FC	Free cholesterol in IDL
idlfcpct	Free cholesterol in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	Free cholesterol to total lipid ratio (%)	Ratio	yes	IDL-FC_%	IDL-FC_percent	Free cholesterol to total lipids ratio in IDL
idll	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	Total lipids	no	IDL-L	IDL-L	Total lipids in IDL
idlp	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL	Particle concentration (mol/l)	Particle concentration	no	IDL-P	IDL-P	Concentration of IDL particles
idlpl	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	Phospholipids	no	IDL-PL	IDL-PL	Phospholipids in IDL
idlplpct	Phospholipids in IDL to total lipids in IDL ratio (%)	Lipoprotein subclasses ratios	IDL ratios	Phospholipids to total lipid ratio (%)	Ratio	yes	IDL-PL_%	IDL-PL_percent	Phospholipids to total lipds ratio in IDL
idltg	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	Triglycerides (mmol/l)	Triglycerides	no	IDL-TG	IDL-TG	Triglycerides in IDL
