id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	subcategory.outcome	originalname.outcome
Lu BF EU sex combined 5 SNPs clumped	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs clumped	MR Egger	4	0.141796450857175	0.899884175500597	0.889265084040171	Keto acid	Acetoacetate
Lu BF EU sex combined 5 SNPs clumped	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs clumped	Weighted median	4	-0.0672995541515918	0.203342712765349	0.740670056663183	Keto acid	Acetoacetate
Lu BF EU sex combined 5 SNPs clumped	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs clumped	Inverse variance weighted (multiplicative random effects)	4	-0.019694678628085	0.158815554065836	0.901307547932215	Keto acid	Acetoacetate
Lu BF EU sex combined 5 SNPs clumped	838	Acetoacetate || id:838	Lu BF EU sex combined 5 SNPs clumped	Weighted mode	4	-0.0911101140081571	0.25438304229064	0.743941734954513	Keto acid	Acetoacetate
Lu BF EU sex combined 5 SNPs clumped	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs clumped	MR Egger	5	0.158371344408094	0.664641307946902	0.827011541053051	Metabolite salt	Acetate
Lu BF EU sex combined 5 SNPs clumped	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs clumped	Weighted median	5	-0.228981200027686	0.14840490031732	0.12284313831445	Metabolite salt	Acetate
Lu BF EU sex combined 5 SNPs clumped	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs clumped	Inverse variance weighted (multiplicative random effects)	5	-0.0317175920023065	0.128360100694329	0.804831972501816	Metabolite salt	Acetate
Lu BF EU sex combined 5 SNPs clumped	839	Acetate || id:839	Lu BF EU sex combined 5 SNPs clumped	Weighted mode	5	-0.234964873867599	0.202409338126356	0.310264332364414	Metabolite salt	Acetate
Lu BF EU sex combined 5 SNPs clumped	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs clumped	MR Egger	5	-0.072955369466969	0.513872028912753	0.896100396522995	Amino acid	Alanine
Lu BF EU sex combined 5 SNPs clumped	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs clumped	Weighted median	5	0.0633000864465189	0.140680140757566	0.652741075350078	Amino acid	Alanine
Lu BF EU sex combined 5 SNPs clumped	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs clumped	Inverse variance weighted (multiplicative random effects)	5	0.0594748958390497	0.0959163830641269	0.535211536134141	Amino acid	Alanine
Lu BF EU sex combined 5 SNPs clumped	840	Alanine || id:840	Lu BF EU sex combined 5 SNPs clumped	Weighted mode	5	0.0780766538352415	0.160713260817537	0.652511508106701	Amino acid	Alanine
Lu BF EU sex combined 5 SNPs clumped	841	Albumin || id:841	Lu BF EU sex combined 5 SNPs clumped	MR Egger	4	1.17260932296723	1.39998515554631	0.490407236748887	Protein	Albumin
Lu BF EU sex combined 5 SNPs clumped	841	Albumin || id:841	Lu BF EU sex combined 5 SNPs clumped	Weighted median	4	-0.0753612679911653	0.236052454551117	0.749532055987655	Protein	Albumin
Lu BF EU sex combined 5 SNPs clumped	841	Albumin || id:841	Lu BF EU sex combined 5 SNPs clumped	Inverse variance weighted (multiplicative random effects)	4	-0.188363308967393	0.308353677838519	0.541287154743371	Protein	Albumin
Lu BF EU sex combined 5 SNPs clumped	841	Albumin || id:841	Lu BF EU sex combined 5 SNPs clumped	Weighted mode	4	0.0533620531419405	0.26985983372349	0.85588879527815	Protein	Albumin
Lu BF EU sex combined 5 SNPs clumped	842	Apolipoprotein A-I || id:842	Lu BF EU sex combined 5 SNPs clumped	MR Egger	4	-0.764568095402934	0.75536568406871	0.417989083803731	Protein	Apolipoprotein A-I
