metabolite	n	b	se	p	lower_ci	upper_ci	raw.label	class	subclass	label	label.no.units	derived_features	exposure	group	model	model_description
xxlvldlp	4450	1.77183076387285e-11	1.75083982056241e-12	8.15235412841521e-24	1.42866615904262e-11	2.11499536870308e-11	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Lipoprotein subclasses	Extremely large VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
xxlvldll	4450	0.0039722447112331	0.000391408573393735	6.11854042226536e-24	0.00320508390738138	0.00473940551508482	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
xxlvldlpl	4450	0.00046259874986616	4.77404835538841e-05	5.48572105857738e-22	0.000369027402100547	0.000556170097631773	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
xxlvldlc	4450	0.000699214010976756	5.99227341727602e-05	5.20097244870734e-31	0.000581765451998146	0.000816662569955366	Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model1	age + sex
xxlvldlce	4450	0.000384253220432468	2.98004154814327e-05	2.2515443600585e-37	0.00032584440608886	0.000442662034776076	Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model1	age + sex
xxlvldlfc	4450	0.000314884406381675	3.17275625418292e-05	5.62990211572177e-23	0.00025269838379969	0.00037707042896366	Free cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model1	age + sex
xxlvldltg	4450	0.00281135367069101	0.000285145899396144	1.06576222462226e-22	0.00225246770787457	0.00337023963350745	Triglycerides in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model1	age + sex
xlvldlp	4450	9.96077581656646e-11	9.67505933423412e-12	1.39403387074261e-24	8.06446418705657e-11	1.18570874460763e-10	Concentration of very large VLDL particles (mol/l)	Lipoprotein subclasses	Very large VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model1	age + sex
xlvldll	4450	0.00972861316850376	0.00093212051197238	3.27659098162848e-25	0.0079016569650379	0.0115555693719696	Total lipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model1	age + sex
xlvldlpl	4450	0.00158560677214491	0.000156269665496195	6.24121163487086e-24	0.00127931822777237	0.00189189531651745	Phospholipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model1	age + sex
