metabolite	n	b	se	p	lower_ci	upper_ci	raw.label	class	subclass	label	label.no.units	derived_features	exposure	group	model	model_description	model_exposure	exposure_model
xsvldlcepct	4450	0.145725551422007	0.049543863063402	0.00328477721188523	0.0486195798177391	0.242831523026275	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	children	model1	age + sex	model1_bmi	bmi_model1
xsvldlcepct	4450	-0.142392728200906	0.0497307480426862	0.00421250783582709	-0.239864994364571	-0.0449204620372411	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	whr	children	model1	age + sex	model1_whr	whr_model1
xsvldlcepct	4450	0.230479747552379	0.0487371830245662	2.32577432800962e-06	0.134954868824229	0.326004626280529	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	children	model1	age + sex	model1_bf	bf_model1
xsvldlcepct	1762	0.398198079968215	0.077985489832933	3.64634919246492e-07	0.245346519895666	0.551049640040764	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	adolescents	model1	age + sex	model1_bmi	bmi_model1
xsvldlcepct	1762	0.425089638223119	0.101504891327249	2.95520379396541e-05	0.226140051221711	0.624039225224527	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	adolescents	model1	age + sex	model1_bf	bf_model1
xsvldlcepct	2589	0.186968019905304	0.0616253044971454	0.00243777469865522	0.066182423090899	0.307753616719709	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model1	age + sex	model1_bmi	bmi_model1
xsvldlcepct	2589	0.0121958471087062	0.0695563594179146	0.860828078881198	-0.124134617350406	0.148526311567819	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	whr	young_adults	model1	age + sex	model1_whr	whr_model1
xsvldlcepct	2589	0.223743370360834	0.070883915911361	0.00161526616997251	0.0848108951745664	0.362675845547102	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	young_adults	model1	age + sex	model1_bf	bf_model1
xsvldlcepct	3505	-0.467714275484852	0.0599846177201241	8.28473714895165e-15	-0.585284126216295	-0.350144424753409	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	adults	model1	age + sex	model1_bmi	bmi_model1
xsvldlcepct	3505	-0.668506455682413	0.0582039541965733	5.33690777787933e-30	-0.782586205907697	-0.554426705457129	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	whr	adults	model1	age + sex	model1_whr	whr_model1
xsvldlcepct	3505	-0.420022455303542	0.0577446582187931	4.29215834865074e-13	-0.533201985412376	-0.306842925194708	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	adults	model1	age + sex	model1_bf	bf_model1
xsvldlcepct	4450	0.124932099565766	0.0567212047905244	0.027676635806127	0.0137585381763382	0.236105660955194	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
xsvldlcepct	4450	-0.141572827816241	0.0497210882123997	0.00442885659401919	-0.239026160712544	-0.0441194949199376	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	whr	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_whr	whr_model2
xsvldlcepct	4450	0.230104498434357	0.0542767799494894	2.28603030496432e-05	0.123722009733358	0.336486987135356	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bf	bf_model2
xsvldlcepct	1762	0.360254123526278	0.0824235059541115	1.3106631072939e-05	0.198704051856219	0.521804195196337	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	adolescents	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
xsvldlcepct	1762	0.36795429747376	0.104380551440148	0.000434153825541403	0.16336841665107	0.57254017829645	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	adolescents	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bf	bf_model2
xsvldlcepct	2589	0.121748825439471	0.0606452246083126	0.0447942633677731	0.00288418520717831	0.240613465671764	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
xsvldlcepct	2589	0.00928996500773687	0.0680706299594226	0.891456126946665	-0.124128469712731	0.142708399728205	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	whr	young_adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_whr	whr_model2
xsvldlcepct	2589	0.14403836438276	0.0698337627933195	0.0392514804030272	0.00716418930785379	0.280912539457666	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	young_adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bf	bf_model2
xsvldlcepct	3505	-0.459127160183449	0.0611223114059146	7.37313403712275e-14	-0.578926890539042	-0.339327429827856	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bmi	bmi_model2
xsvldlcepct	3505	-0.650296297615182	0.0590197100210138	8.88351808635696e-28	-0.765974929256369	-0.534617665973995	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	whr	adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_whr	whr_model2
xsvldlcepct	3505	-0.413119560093221	0.0588560578744963	2.66923733603437e-12	-0.528477433527234	-0.297761686659208	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	adults	model2	maternal/own_education + ever smoked + frequency alcohol + diet	model2_bf	bf_model2
xsvldlcepct	588	0.37973466085833	0.137399210295588	0.00589627899675704	0.110432208678978	0.649037113037682	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	adolescents	model3	physical activity	model3_bmi	bmi_model3
xsvldlcepct	588	0.336125429342422	0.176916620765314	0.0579416585867963	-0.0106311473575934	0.682882006042437	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bf	adolescents	model3	physical activity	model3_bf	bf_model3
xsvldlcepct	575	0.141892427824443	0.144542874630489	0.326684455264719	-0.141411606451315	0.425196462100201	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	bmi	young_adults	model3	physical activity	model3_bmi	bmi_model3
xsvldlcepct	575	-0.00370908307954589	0.144328647525505	0.979506567431112	-0.286593232229536	0.279175066070444	Cholesterol esters in very small VLDL to total lipids in very small VLDL ratio (%)	Lipoprotein subclasses ratios	Very Small VLDL ratios	Cholesterol esters to total lipid ratio (%)	Ratio	yes	whr	young_adults	model3	physical activity	model3_whr	whr_model3
