metabolite	n	b	se	p	lower_ci	upper_ci	raw.label	class	subclass	label	label.no.units	derived_features	exposure	group	model	model_description
xxlvldlp	4450	1.85773389535943e-11	2.00439064851733e-12	2.876147894294e-20	1.46487332825003e-11	2.25059446246883e-11	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Lipoprotein subclasses	Extremely large VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xxlvldll	4450	0.00415927489542778	0.00044808790072756	2.52959193091579e-20	0.00328102261000176	0.0050375271808538	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xxlvldlpl	4450	0.000485911218027485	5.46540349494174e-05	8.6723447141519e-19	0.000378789309526627	0.000593033126528343	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xxlvldlc	4450	0.000731363492009267	6.85999404849978e-05	3.19597463654958e-26	0.000596907608658671	0.000865819375359863	Total cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xxlvldlce	4450	0.000401484271663633	3.41155373562855e-05	1.66026476283877e-31	0.000334617818445313	0.000468350724881953	Cholesterol esters in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xxlvldlfc	4450	0.00032982803636478	3.63222258521756e-05	1.58981502896303e-19	0.000258636473694516	0.000401019599035044	Free cholesterol in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xxlvldltg	4450	0.0029428304081873	0.000326437161909569	2.86765217573675e-19	0.00230301357084454	0.00358264724553006	Triglycerides in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xlvldlp	4450	1.0401933587393e-10	1.10763138769821e-11	9.23009075394548e-21	8.23097606750451e-11	1.25728911072815e-10	Concentration of very large VLDL particles (mol/l)	Lipoprotein subclasses	Very large VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xlvldll	4450	0.0101594264848812	0.00106712059654185	2.74893270694804e-21	0.00806787011565917	0.0122509828541032	Total lipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xlvldlpl	4450	0.00166160657409886	0.000178902250908055	2.40427740904584e-20	0.00131095816231907	0.00201225498587865	Phospholipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xlvldlc	4450	0.00212704855586377	0.00020491668793654	5.88046604339443e-25	0.00172541184750815	0.00252868526421939	Total cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xlvldlce	4450	0.00113752680897756	0.000103880302726085	1.48457490382886e-27	0.000933921415634433	0.00134113220232069	Cholesterol esters in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xlvldlfc	4450	0.00098940933187398	0.000102090070097679	5.39975013584526e-22	0.000789312794482529	0.00118950586926543	Free cholesterol in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
xlvldltg	4450	0.00637135073107642	0.000685634171337875	2.29920222197357e-20	0.00502750775525419	0.00771519370689866	Triglycerides in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
lvldlp	4450	5.05669993481197e-10	5.03459371474002e-11	1.73693944479914e-23	4.06991956672293e-10	6.04348030290101e-10	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
lvldll	4450	0.0309469943198067	0.00302027312849893	2.28769473584731e-24	0.0250272589879488	0.0368667296516646	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
lvldlpl	4450	0.00547837182519073	0.000540098308531523	6.45381361612825e-24	0.00441977914046895	0.00653696450991252	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
lvldlc	4450	0.00732895575213991	0.000679005889448314	7.91289143048955e-27	0.00599810420882121	0.00865980729545861	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
lvldlce	4450	0.00367953061314912	0.00031562396290368	5.8740408520536e-31	0.00306090764585791	0.00429815358044033	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
lvldlfc	4450	0.00364990923648802	0.000368959379840981	7.71773208335106e-23	0.0029267488519997	0.00437306962097634	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
lvldltg	4450	0.0181387984331839	0.0018065976175002	1.80004865351626e-23	0.0145978671028835	0.0216797297634843	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
mvldlp	4450	1.2382231411682e-09	1.09668047902569e-10	3.63035715764812e-29	1.02327376727916e-09	1.45317251505724e-09	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL	Particle concentration (mol/l)	Particle concentration	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
mvldll	4450	0.043238424610543	0.0037082873149302	5.74250361575827e-31	0.0359701814732798	0.0505066677478062	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total lipids (mmol/l)	Total lipids	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
mvldlpl	4450	0.00805191229389707	0.000711575448800316	2.75358448031111e-29	0.00665722441424845	0.00944660017354569	Phospholipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
mvldlc	4450	0.0115312044609007	0.000954127724592916	4.1393310931092e-33	0.00966111412069858	0.0134012948011028	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
mvldlce	4450	0.00634998100129857	0.000519363353556094	7.80459480356769e-34	0.00533202882832863	0.00736793317426851	Cholesterol esters in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	children	model2	maternal/own_education + ever smoked + frequency alcohol + diet
