id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	subcategory.outcome	originalname.outcome
Hubel BF EU sex combined 76 SNPs	838	Acetoacetate || id:838	Hubel BF EU sex combined 76 SNPs	MR Egger	74	0.0109177291432868	0.0382318438879934	0.776030189677686	Keto acid	Acetoacetate
Hubel BF EU sex combined 76 SNPs	838	Acetoacetate || id:838	Hubel BF EU sex combined 76 SNPs	Weighted median	74	0.0214983619577475	0.0142171016893838	0.130496214857881	Keto acid	Acetoacetate
Hubel BF EU sex combined 76 SNPs	838	Acetoacetate || id:838	Hubel BF EU sex combined 76 SNPs	Inverse variance weighted (multiplicative random effects)	74	0.00733608112488326	0.0100418119674234	0.465051908466431	Keto acid	Acetoacetate
Hubel BF EU sex combined 76 SNPs	838	Acetoacetate || id:838	Hubel BF EU sex combined 76 SNPs	Weighted mode	74	0.0209392000108998	0.0284955648517623	0.464801294715236	Keto acid	Acetoacetate
Hubel BF EU sex combined 76 SNPs	839	Acetate || id:839	Hubel BF EU sex combined 76 SNPs	MR Egger	74	-0.0354262807091685	0.0305283982551697	0.249704276133721	Metabolite salt	Acetate
Hubel BF EU sex combined 76 SNPs	839	Acetate || id:839	Hubel BF EU sex combined 76 SNPs	Weighted median	74	-0.0156777888039329	0.0114420320120391	0.170626754617975	Metabolite salt	Acetate
Hubel BF EU sex combined 76 SNPs	839	Acetate || id:839	Hubel BF EU sex combined 76 SNPs	Inverse variance weighted (multiplicative random effects)	74	-0.00680151620359135	0.00695150449854449	0.327864850234558	Metabolite salt	Acetate
Hubel BF EU sex combined 76 SNPs	839	Acetate || id:839	Hubel BF EU sex combined 76 SNPs	Weighted mode	74	-0.0268120129763779	0.0222390642269171	0.23185476800971	Metabolite salt	Acetate
Hubel BF EU sex combined 76 SNPs	840	Alanine || id:840	Hubel BF EU sex combined 76 SNPs	MR Egger	74	-0.029614288934456	0.034620314092438	0.395166225083076	Amino acid	Alanine
Hubel BF EU sex combined 76 SNPs	840	Alanine || id:840	Hubel BF EU sex combined 76 SNPs	Weighted median	74	0.00368882445594619	0.0124592810367218	0.767176310187165	Amino acid	Alanine
Hubel BF EU sex combined 76 SNPs	840	Alanine || id:840	Hubel BF EU sex combined 76 SNPs	Inverse variance weighted (multiplicative random effects)	74	-0.00166176778244863	0.00910206603739809	0.855135116044526	Amino acid	Alanine
Hubel BF EU sex combined 76 SNPs	840	Alanine || id:840	Hubel BF EU sex combined 76 SNPs	Weighted mode	74	0.00422514577052108	0.0264873203108595	0.873703052974083	Amino acid	Alanine
Hubel BF EU sex combined 76 SNPs	841	Albumin || id:841	Hubel BF EU sex combined 76 SNPs	MR Egger	74	-0.0465195933220426	0.0382771797273642	0.22820858951998	Protein	Albumin
Hubel BF EU sex combined 76 SNPs	841	Albumin || id:841	Hubel BF EU sex combined 76 SNPs	Weighted median	74	-0.0199466150898209	0.0145078943365868	0.169168622410845	Protein	Albumin
Hubel BF EU sex combined 76 SNPs	841	Albumin || id:841	Hubel BF EU sex combined 76 SNPs	Inverse variance weighted (multiplicative random effects)	74	-0.0121755396073551	0.010135569359746	0.229647088048531	Protein	Albumin
Hubel BF EU sex combined 76 SNPs	841	Albumin || id:841	Hubel BF EU sex combined 76 SNPs	Weighted mode	74	-0.0258801268868725	0.0251005791963629	0.305918103746049	Protein	Albumin
Hubel BF EU sex combined 76 SNPs	842	Apolipoprotein A-I || id:842	Hubel BF EU sex combined 76 SNPs	MR Egger	74	-0.0849103651925184	0.0427175075345823	0.0506464406100573	Protein	Apolipoprotein A-I
Hubel BF EU sex combined 76 SNPs	842	Apolipoprotein A-I || id:842	Hubel BF EU sex combined 76 SNPs	Weighted median	74	-0.00546016110906308	0.0144637249514682	0.705796673560923	Protein	Apolipoprotein A-I
Hubel BF EU sex combined 76 SNPs	842	Apolipoprotein A-I || id:842	Hubel BF EU sex combined 76 SNPs	Inverse variance weighted (multiplicative random effects)	74	-0.00505039425765589	0.011476499921568	0.65989076757199	Protein	Apolipoprotein A-I
Hubel BF EU sex combined 76 SNPs	842	Apolipoprotein A-I || id:842	Hubel BF EU sex combined 76 SNPs	Weighted mode	74	-0.0145681639106023	0.0271979021508096	0.593838646788833	Protein	Apolipoprotein A-I
Hubel BF EU sex combined 76 SNPs	843	Apolipoprotein B || id:843	Hubel BF EU sex combined 76 SNPs	MR Egger	74	0.00542719058715086	0.0429018718684541	0.899686840659744	Protein	Apolipoprotein B
Hubel BF EU sex combined 76 SNPs	843	Apolipoprotein B || id:843	Hubel BF EU sex combined 76 SNPs	Weighted median	74	0.0342306006377937	0.0138906733699015	0.0137286276633875	Protein	Apolipoprotein B
Hubel BF EU sex combined 76 SNPs	843	Apolipoprotein B || id:843	Hubel BF EU sex combined 76 SNPs	Inverse variance weighted (multiplicative random effects)	74	0.0159381306731574	0.0112119496229585	0.155162533155818	Protein	Apolipoprotein B
Hubel BF EU sex combined 76 SNPs	843	Apolipoprotein B || id:843	Hubel BF EU sex combined 76 SNPs	Weighted mode	74	0.0578177443849761	0.0280891696472453	0.0431250844499843	Protein	Apolipoprotein B
Hubel BF EU sex combined 76 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Hubel BF EU sex combined 76 SNPs	MR Egger	74	-0.0323104697819596	0.0400507319573613	0.42247399577814	Metabolites ratio	Ratio of bisallylic groups to double bonds
Hubel BF EU sex combined 76 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Hubel BF EU sex combined 76 SNPs	Weighted median	74	-0.0212122726106116	0.0151823734310869	0.162364120708856	Metabolites ratio	Ratio of bisallylic groups to double bonds
Hubel BF EU sex combined 76 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Hubel BF EU sex combined 76 SNPs	Inverse variance weighted (multiplicative random effects)	74	-0.0217442301589201	0.00892221776387424	0.0148060742522833	Metabolites ratio	Ratio of bisallylic groups to double bonds
Hubel BF EU sex combined 76 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Hubel BF EU sex combined 76 SNPs	Weighted mode	74	-0.0205783094463323	0.0280964932901058	0.466260084161649	Metabolites ratio	Ratio of bisallylic groups to double bonds
Hubel BF EU sex combined 76 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Hubel BF EU sex combined 76 SNPs	MR Egger	74	-0.0304806673663695	0.0405688824923538	0.454902184600598	Fatty acid	Ratio of bisallylic groups to total fatty acids
Hubel BF EU sex combined 76 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Hubel BF EU sex combined 76 SNPs	Weighted median	74	-0.0105237605741543	0.0155986705039427	0.499893370579674	Fatty acid	Ratio of bisallylic groups to total fatty acids
Hubel BF EU sex combined 76 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Hubel BF EU sex combined 76 SNPs	Inverse variance weighted (multiplicative random effects)	74	-0.0223779707427	0.00928408481104489	0.0159368613683597	Fatty acid	Ratio of bisallylic groups to total fatty acids
Hubel BF EU sex combined 76 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Hubel BF EU sex combined 76 SNPs	Weighted mode	74	-0.00487844481491223	0.0266485767541923	0.85525382850556	Fatty acid	Ratio of bisallylic groups to total fatty acids
Hubel BF EU sex combined 76 SNPs	846	3-hydroxybutyrate || id:846	Hubel BF EU sex combined 76 SNPs	MR Egger	74	-0.0529384598986936	0.0313265751991572	0.0953748109658868	Lipid	3-hydroxybutyrate
Hubel BF EU sex combined 76 SNPs	846	3-hydroxybutyrate || id:846	Hubel BF EU sex combined 76 SNPs	Weighted median	74	-0.00148721798640432	0.0130540224462468	0.909294910749372	Lipid	3-hydroxybutyrate
