metabolite	raw.label	name	class	subclass	label	label.no.units	derived_features
acace	Acetoacetate (mmol/l)	Acetoacetate	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	no
ace	Acetate (mmol/l)	Acetate	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	no
ala	Alanine (mmol/l)	Alanine	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	no
alb	Albumin  (signal area)	Albumin	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	no
apoa1	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	no
apob	Apolipoprotein B (g/l)	Apolipoprotein B	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	no
apobapoa1	Ratio of apolipoprotein B to apolipoprotein A-I	Ratio of apolipoprotein B to apolipoprotein A-I	Apolipoproteins	Apolipoproteins	Apolipoprotein B/A-I (g/l)	Apolipoprotein B/A-I	no
bohbut	3-hydroxybutyrate (mmol/l)	3-hydroxybutyrate	Ketone bodies	Ketone bodies	Beta-hydroxybutyrate (mmol/l)	Beta-hydroxybutyrate	no
cit	Citrate (mmol/l)	Citrate	Glycolysis related metabolites	Glycolysis related metabolites	Citrate (mmol/l)	Citrate	no
cla	Conjugated linoleic acid (mmol/l)	Conjugated linoleic acid	Fatty acids	Fatty acids	Conjugated linoleic acid (mmol/l)	Conjugated linoleic acid	no
clafa	Ratio of conjugated linoleic acid to total fatty acids (%)	Ratio of conjugated linoleic acid to total fatty acids	Fatty acids ratios	Fatty acids ratios	Conjugated linoleic acid (%)	Ratio	yes
crea	Creatinine (mmol/l)	Creatinine	Fluid balance	Fluid balance	Creatinine (mmol/l)	Creatinine	no
dag	Diacylglycerol (mmol/l)	Diacylglycerol	Glycerides and phospholipids	Glycerides and phospholipids	Diacylglycerol (mmol/l)	Diacylglycerol	no
dagtg	Ratio of diacylglycerol to triglycerides (%)	Ratio of diacylglycerol to triglycerides	Glycerides and phospholipids ratios	Glycerides and phospholipids ratios	Ratio of diacylglycerol to triglycerides (%)	Ratio	yes
