Metabolite ID	Metabolite	Status	Pathway	Super_pathway	my_pathway	my_superpathway	Platform	Compound ID	Quant. Mass.	Retention Time	Spectra	CV(%)	Included in GWAS meta-analysis	Total N	name_lower	METABOLON_name	METABOLON SUB PATHWAY	PUBCHEM	KEGG
M01558	4-acetamidobutanoate	Known	Guanidino and acetamido metabolism	Amino acid	Amino acid	Amino acid	LC/MS pos	NA	NA	NA		17.3	Y	"6,930"	4-acetamidobutanoate	4-acetamidobutanoate	Polyamine Metabolism	18189	C02946
M15677	3-methylhistidine	Known	Histidine metabolism	Amino acid	Amino acid	Amino acid	LC/MS neg	NA	NA	NA		6.8	Y	"5,885"	3-methylhistidine	3-methylhistidine	Histidine Metabolism	64969	C01152
M00059	histidine	Known	Histidine metabolism	Amino acid	Amino acid	Amino acid	LC/MS neg	NA	NA	NA		5.9	Y	"7,804"	histidine	histidine	Histidine Metabolism	6274	C00135
M32709	X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide	Identified	Polyamine metabolism	Amino acid	Amino acid	Amino acid	LC/MS Pos	NA	NA	NA		11.8	Y	"7,812"	x-03056--n-[3-(2-oxopyrrolidin-1-yl)propyl]acetamide	NA	NA	NA	NA
M32339	alanine	Known	Alanine and aspartate metabolism	Amino acid	Amino acid: Alanine and aspartate metabolism	Amino acid: Alanine and aspartate metabolism	GC/MS	NA	NA	NA		13.4	Y	"7,788"	alanine	alanine	Alanine and Aspartate Metabolism	5950	C00041
M34283	asparagine	Known	Alanine and aspartate metabolism	Amino acid	Amino acid: Alanine and aspartate metabolism	Amino acid: Alanine and aspartate metabolism	GC/MS	NA	NA	NA		27.9	Y	"7,761"	asparagine	asparagine	Alanine and Aspartate Metabolism	6267	C00152
M15996	aspartate	Known	Alanine and aspartate metabolism	Amino acid	Amino acid: Alanine and aspartate metabolism	Amino acid: Alanine and aspartate metabolism	GC/MS	NA	NA	NA		29	Y	"7,721"	aspartate	aspartate	Alanine and Aspartate Metabolism	5960	C00049
M01585	N-acetylalanine	Known	Alanine and aspartate metabolism	Amino acid	Amino acid: Alanine and aspartate metabolism	Amino acid: Alanine and aspartate metabolism	LC/MS neg	NA	NA	NA		12.1	Y	"7,720"	n-acetylalanine	N-acetylalanine	Alanine and Aspartate Metabolism	88064	C02847
M34040	X-12510--2-aminooctanoic acid	Identified	Amino fatty acid	Amino acid	Amino acid: Amino fatty acid	Amino acid	LC/MS Pos	NA	NA	NA		16.8	Y	"7,566"	x-12510--2-aminooctanoic acid	NA	NA	NA	NA
M32348	2-aminobutyrate	Known	Butanoate metabolism	Amino acid	Amino acid: Butanoate metabolism	Amino acid	LC/MS pos	NA	NA	NA		9.6	Y	"7,814"	2-aminobutyrate	2-aminobutyrate	Glutathione Metabolism	439691	C02261
M16822	"X-04499--3,4-dihydroxybutyrate"	Identified	Butanoate metabolism	Amino acid	Amino acid: Butanoate metabolism	Amino acid	GC/MS	16822	189	7.22	59.1:6.7 72:5.3 72.9:100 73.9:9.4 75:9.8 100.9:6.9 117:13.8 129:6.3 131.1:4.9 133:11.2 147:32.4 148.1:7 149:6 157:3.9 186:4.3 189:22 190:5.1 191.1:9.7 202.1:6.1 203.1:7 204:2.8 205:4.1 217:2.3 231:11 232.1:3.9 233.1:20.9 234:5.9 235:2.2 246:3.4 285.2:2.5 321.3:4.3	21.1	Y	"6,948"	"x-04499--3,4-dihydroxybutyrate"	NA	NA	NA	NA
M27718	creatine	Known	Creatine metabolism	Amino acid	Amino acid: Creatine metabolism	Amino acid	LC/MS pos	NA	NA	NA		5.7	Y	"7,822"	creatine	creatine	Creatine Metabolism	586	C00300
