Exposure	Outcome	Analysis	Adjusted	OR	Lower CI	Upper CI	p-value		Exposure	Outcome	Analysis	Adjusted	OR	Lower CI	Upper CI	p-value		Exposure	Outcome	Analysis	Adjusted	OR	Lower CI	Upper CI	p-value
BMI	Endometrial cancer	Univariable MR	-	1.909207765	1.622047779	2.247205254	7.47E-15		WHR	Endometrial cancer	Univariable MR	-	1.257901015	0.954397569	1.657920154	0.10338003		BF	Endometrial cancer	Univariable MR	-	2.536849268	2.036327515	3.160397414	1.02E-16
SVLDLTG	Endometrial cancer	Univariable MR	-	1.109113124	0.981502365	1.25331529	0.096791749		SVLDLTG	Endometrial cancer	Univariable MR	-	1.109113124	0.981502365	1.25331529	0.096791749		SVLDLTG	Endometrial cancer	Univariable MR	-	1.109113124	0.981502365	1.25331529	0.096791749
XSVLDLTG	Endometrial cancer	Univariable MR	-	1.105834387	0.98393722	1.242833045	0.091363336		XSVLDLTG	Endometrial cancer	Univariable MR	-	1.105834387	0.98393722	1.242833045	0.091363336		XSVLDLTG	Endometrial cancer	Univariable MR	-	1.105834387	0.98393722	1.242833045	0.091363336
BMI	Endometrial cancer	Multivariable MR	SVLDLTG	1.896356165	1.572004979	2.287630606	5.18E-09		WHR	Endometrial cancer	Multivariable MR	SVLDLTG	1.170409018	0.699397262	1.958625441	0.554793678		BF	Endometrial cancer	Multivariable MR	SVLDLTG	2.228055616	1.248684153	3.975570456	0.016863727
SVLDLTG	Endometrial cancer	Multivariable MR	BMI	1.296238702	1.004296268	1.673046914	0.05028424		SVLDLTG	Endometrial cancer	Multivariable MR	WHR	1.369344384	0.981708271	1.910042012	0.076474783		SVLDLTG	Endometrial cancer	Multivariable MR	BF	1.391885707	1.038414458	1.865676854	0.044080876
BMI	Endometrial cancer	Multivariable MR	XSVLDLTG	1.867545477	1.527163832	2.283793025	7.26E-08		WHR	Endometrial cancer	Multivariable MR	XSVLDLTG	1.165871834	0.705989507	1.925322004	0.554600665		BF	Endometrial cancer	Multivariable MR	XSVLDLTG	2.281656858	1.266803072	4.109524307	0.017674868
XSVLDLTG	Endometrial cancer	Multivariable MR	BMI	1.175337304	0.846589494	1.631744531	0.338121217		XSVLDLTG	Endometrial cancer	Multivariable MR	WHR	1.28709365	0.857186152	1.932614123	0.235960169		XSVLDLTG	Endometrial cancer	Multivariable MR	BF	1.201190285	0.815696784	1.768865749	0.371525484
BMI	Endometroid	Univariable MR	-	2.019227493	1.675413289	2.433596351	1.60E-13		WHR	Endometroid	Univariable MR	-	1.25353531	0.905079588	1.736146516	0.173883733		BF	Endometroid	Univariable MR	-	2.733132653	1.827014844	4.08864445	9.94E-07
SVLDLTG	Endometroid	Univariable MR	-	1.107491066	0.960260775	1.277295182	0.160667188		SVLDLTG	Endometroid	Univariable MR	-	1.107491066	0.960260775	1.277295182	0.160667188		SVLDLTG	Endometroid	Univariable MR	-	1.107491066	0.960260775	1.277295182	0.160667188
XSVLDLTG	Endometroid	Univariable MR	-	1.105627096	0.962865425	1.269555686	0.154583186		XSVLDLTG	Endometroid	Univariable MR	-	1.105627096	0.962865425	1.269555686	0.154583186		XSVLDLTG	Endometroid	Univariable MR	-	1.105627096	0.962865425	1.269555686	0.154583186
