id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	subcategory.outcome	originalname.outcome
Pulit WHR EU sex combined 316 SNPs	838	Acetoacetate || id:838	Pulit WHR EU sex combined 316 SNPs	MR Egger	304	0.19779100036071	0.119660677667537	0.0993837917917864	Keto acid	Acetoacetate
Pulit WHR EU sex combined 316 SNPs	838	Acetoacetate || id:838	Pulit WHR EU sex combined 316 SNPs	Weighted median	304	0.047003003136541	0.0721916519548638	0.514990711947806	Keto acid	Acetoacetate
Pulit WHR EU sex combined 316 SNPs	838	Acetoacetate || id:838	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted (multiplicative random effects)	304	0.0384439761735387	0.0420440347953656	0.360520310106335	Keto acid	Acetoacetate
Pulit WHR EU sex combined 316 SNPs	838	Acetoacetate || id:838	Pulit WHR EU sex combined 316 SNPs	Weighted mode	304	0.0520266824915105	0.127841718104316	0.684323448721431	Keto acid	Acetoacetate
Pulit WHR EU sex combined 316 SNPs	839	Acetate || id:839	Pulit WHR EU sex combined 316 SNPs	MR Egger	305	-0.142019884640332	0.112565533812732	0.208040093919366	Metabolite salt	Acetate
Pulit WHR EU sex combined 316 SNPs	839	Acetate || id:839	Pulit WHR EU sex combined 316 SNPs	Weighted median	305	-0.0767216565012477	0.0612528821204671	0.210373331640525	Metabolite salt	Acetate
Pulit WHR EU sex combined 316 SNPs	839	Acetate || id:839	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted (multiplicative random effects)	305	-0.0952887818733702	0.0387165966785258	0.0138478193602299	Metabolite salt	Acetate
Pulit WHR EU sex combined 316 SNPs	839	Acetate || id:839	Pulit WHR EU sex combined 316 SNPs	Weighted mode	305	-0.185305125727021	0.141474704963662	0.191248716827257	Metabolite salt	Acetate
Pulit WHR EU sex combined 316 SNPs	840	Alanine || id:840	Pulit WHR EU sex combined 316 SNPs	MR Egger	305	0.0102503956375426	0.128053480349973	0.93625210540849	Amino acid	Alanine
Pulit WHR EU sex combined 316 SNPs	840	Alanine || id:840	Pulit WHR EU sex combined 316 SNPs	Weighted median	305	0.057611131452714	0.0690543075826564	0.404119109733043	Amino acid	Alanine
Pulit WHR EU sex combined 316 SNPs	840	Alanine || id:840	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted (multiplicative random effects)	305	0.0400272475320214	0.0440364691436416	0.36337293615565	Amino acid	Alanine
Pulit WHR EU sex combined 316 SNPs	840	Alanine || id:840	Pulit WHR EU sex combined 316 SNPs	Weighted mode	305	0.0256180771082652	0.126716217663437	0.83991991829042	Amino acid	Alanine
Pulit WHR EU sex combined 316 SNPs	841	Albumin || id:841	Pulit WHR EU sex combined 316 SNPs	MR Egger	304	0.107792478794467	0.123649512294535	0.384032798190221	Protein	Albumin
Pulit WHR EU sex combined 316 SNPs	841	Albumin || id:841	Pulit WHR EU sex combined 316 SNPs	Weighted median	304	-0.0146451099938681	0.0666425667893193	0.82606111770359	Protein	Albumin
Pulit WHR EU sex combined 316 SNPs	841	Albumin || id:841	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted (multiplicative random effects)	304	0.0037295958708162	0.0434856894807273	0.931652394216482	Protein	Albumin
Pulit WHR EU sex combined 316 SNPs	841	Albumin || id:841	Pulit WHR EU sex combined 316 SNPs	Weighted mode	304	-0.0941978909125396	0.183046635892278	0.607199736317678	Protein	Albumin
Pulit WHR EU sex combined 316 SNPs	842	Apolipoprotein A-I || id:842	Pulit WHR EU sex combined 316 SNPs	MR Egger	304	-0.0289762341007367	0.133159727944721	0.827883769777844	Protein	Apolipoprotein A-I
Pulit WHR EU sex combined 316 SNPs	842	Apolipoprotein A-I || id:842	Pulit WHR EU sex combined 316 SNPs	Weighted median	304	-0.0896834043707345	0.0744981362167356	0.228653667369892	Protein	Apolipoprotein A-I
Pulit WHR EU sex combined 316 SNPs	842	Apolipoprotein A-I || id:842	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted (multiplicative random effects)	304	-0.142515248262439	0.0465325560676137	0.0021935001841128	Protein	Apolipoprotein A-I
Pulit WHR EU sex combined 316 SNPs	842	Apolipoprotein A-I || id:842	Pulit WHR EU sex combined 316 SNPs	Weighted mode	304	-0.0318733825775324	0.131589298544189	0.808774604509145	Protein	Apolipoprotein A-I
Pulit WHR EU sex combined 316 SNPs	843	Apolipoprotein B || id:843	Pulit WHR EU sex combined 316 SNPs	MR Egger	305	0.182579186943381	0.172490802597699	0.290676796733974	Protein	Apolipoprotein B
Pulit WHR EU sex combined 316 SNPs	843	Apolipoprotein B || id:843	Pulit WHR EU sex combined 316 SNPs	Weighted median	305	0.404048608138991	0.0686961299090877	4.06124569916343e-09	Protein	Apolipoprotein B
Pulit WHR EU sex combined 316 SNPs	843	Apolipoprotein B || id:843	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted (multiplicative random effects)	305	0.249439710801822	0.0594298060391492	2.70216629829408e-05	Protein	Apolipoprotein B
Pulit WHR EU sex combined 316 SNPs	843	Apolipoprotein B || id:843	Pulit WHR EU sex combined 316 SNPs	Weighted mode	305	0.519056963173891	0.147961954087105	0.000519581370041032	Protein	Apolipoprotein B
Pulit WHR EU sex combined 316 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Pulit WHR EU sex combined 316 SNPs	MR Egger	304	0.138395341540014	0.151669380888178	0.362243700405102	Metabolites ratio	Ratio of bisallylic groups to double bonds
Pulit WHR EU sex combined 316 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Pulit WHR EU sex combined 316 SNPs	Weighted median	304	-0.0391872570229733	0.0865744158502345	0.650806215201926	Metabolites ratio	Ratio of bisallylic groups to double bonds
Pulit WHR EU sex combined 316 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted (multiplicative random effects)	304	-0.116532146961787	0.0529053144386443	0.0276190854412881	Metabolites ratio	Ratio of bisallylic groups to double bonds
Pulit WHR EU sex combined 316 SNPs	844	Ratio of bisallylic groups to double bonds || id:844	Pulit WHR EU sex combined 316 SNPs	Weighted mode	304	-0.0517097018426327	0.137596503080989	0.707323500296852	Metabolites ratio	Ratio of bisallylic groups to double bonds
Pulit WHR EU sex combined 316 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Pulit WHR EU sex combined 316 SNPs	MR Egger	304	0.087166197481115	0.148232055881883	0.556945729337407	Fatty acid	Ratio of bisallylic groups to total fatty acids
Pulit WHR EU sex combined 316 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Pulit WHR EU sex combined 316 SNPs	Weighted median	304	-0.0222936232710173	0.0847409615402523	0.792489181589226	Fatty acid	Ratio of bisallylic groups to total fatty acids
Pulit WHR EU sex combined 316 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted (multiplicative random effects)	304	-0.140772145152853	0.0516835250753873	0.00645485820979118	Fatty acid	Ratio of bisallylic groups to total fatty acids
Pulit WHR EU sex combined 316 SNPs	845	Ratio of bisallylic groups to total fatty acids || id:845	Pulit WHR EU sex combined 316 SNPs	Weighted mode	304	-0.0105169810796477	0.151735673634524	0.94478763290343	Fatty acid	Ratio of bisallylic groups to total fatty acids
Pulit WHR EU sex combined 316 SNPs	846	3-hydroxybutyrate || id:846	Pulit WHR EU sex combined 316 SNPs	MR Egger	305	-0.0292907006426913	0.111743719753059	0.793404026649052	Lipid	3-hydroxybutyrate
Pulit WHR EU sex combined 316 SNPs	846	3-hydroxybutyrate || id:846	Pulit WHR EU sex combined 316 SNPs	Weighted median	305	-0.107750098120459	0.0624593521604827	0.0845052127949861	Lipid	3-hydroxybutyrate
Pulit WHR EU sex combined 316 SNPs	846	3-hydroxybutyrate || id:846	Pulit WHR EU sex combined 316 SNPs	Inverse variance weighted (multiplicative random effects)	305	-0.087290301835064	0.0385381243030673	0.0235103702643129	Lipid	3-hydroxybutyrate
